generator,split_seed,price,quality,mean_length,samples,matched_length,matched_saving_percent,relative_profit_percent,relative_vs_test_oracle
llama3.2_3b,73,1e-06,0.4639009610026275,44747.0425,59.175,69208.85663515798,35.34491873505596,7.006426198829831,5.9014866958930705
llama3.2_3b,73,2e-06,0.4210919959999851,24476.8375,33.0775,38678.630111618426,36.7174136484023,8.404634425020234,7.901124352818551
llama3.2_3b,73,1e-05,0.3308155537182666,8622.2775,9.0975,12315.260052889162,29.98704482917344,11.68029369760539,11.68029369760539
llama3.2_3b,74,2e-08,0.6602056042330376,936714.085,630.37,1065447.120635059,12.082536349464979,-0.6776969445863135,-0.7245294688827718
llama3.2_3b,74,1e-07,0.604384270208832,280163.365,279.465,392784.18441415735,28.67244249717762,1.114283890411408,0.9470267689551396
llama3.2_3b,74,2e-07,0.5704848283217341,167188.9775,197.5425,255500.9650536007,34.564248137017415,2.9345048268256684,2.112852112170236
llama3.2_3b,74,1e-06,0.46990966415358426,45464.0725,62.325,74431.4170875969,38.91816886074571,8.037582947988763,6.866905388022589
llama3.2_3b,74,2e-06,0.4196607930783926,25080.655,34.9275,38294.06878544253,34.505118428328515,8.575100805481995,7.210373891766313
llama3.2_3b,74,1e-05,0.31855768061901146,8742.5275,9.29,10493.714379908824,16.687960206555953,10.013390968922549,5.775980624534722
llama3.2_3b,75,2e-08,0.6559536667298796,984544.49,630.24,1079407.563216819,8.788438811204069,-1.1790352540093074,-1.2120324272821292
llama3.2_3b,75,1e-07,0.6010981869580366,285498.71,241.495,419119.8658163239,31.881370155544552,1.7051059245862297,1.29347239522564
llama3.2_3b,75,2e-07,0.5602487297973657,166045.995,153.27,243949.90088942097,31.934387185807346,2.2989512331784097,1.8255444417720046
llama3.2_3b,75,1e-06,0.4654204266439404,44101.275,45.4775,76943.34289666341,42.68344298579674,10.283175996860185,8.414429988437407
llama3.2_3b,75,2e-06,0.4183073334600645,24624.5475,26.7575,41934.51203686439,41.27856435207187,10.35920080575524,10.084289704819918
