generator,split_seed,method,target,attained_quality,mean_length,samples,matched_feasible,matched_length,matched_saving_percent
gemma2_9b,72,shape_jensen_moment,0.55,0.5612817457853155,252224.9075,235.66,True,250202.66077091888,-0.8082434946335981
gemma2_9b,72,shape_jensen_moment,0.6,0.5992505751577436,682323.7725,505.27,True,559589.2762056547,-21.9329607469531
gemma2_9b,72,shape_empirical_moment,0.3,0.32525769505561136,5555.07,4.1925,True,5430.2790695422045,-2.2980574084623617
gemma2_9b,72,shape_empirical_moment,0.35,0.3347622054987855,6610.5925,5.0125,True,6159.3098462629505,-7.3268379899877445
gemma2_9b,72,shape_empirical_moment,0.4,0.3602689097067039,11398.2025,8.6,True,8808.342507863703,-29.402353391959757
gemma2_9b,72,shape_empirical_moment,0.45,0.42497771620705194,28676.39,22.485,True,24346.621463160413,-17.78385778655609
gemma2_9b,72,shape_empirical_moment,0.5,0.5028121225253452,86077.315,84.365,True,80465.48506448053,-6.974207551253153
gemma2_9b,72,shape_empirical_moment,0.55,0.5612817457853155,252224.9075,235.66,True,250202.66077091888,-0.8082434946335981
gemma2_9b,72,shape_empirical_moment,0.6,0.5992505751577436,682323.7725,505.27,True,559589.2762056547,-21.9329607469531
gemma2_9b,73,rank_jensen_bound,0.3,0.3247741182027722,6380.7975,4.7175,True,6313.119622407906,-1.0720195662359489
gemma2_9b,73,rank_jensen_bound,0.35,0.34322859169071696,9659.4025,6.9,True,7857.249925931112,-22.93617475653007
gemma2_9b,73,rank_jensen_bound,0.4,0.39178514398587183,21798.7675,14.7725,True,15382.546787416017,-41.71104304934015
gemma2_9b,73,rank_jensen_bound,0.45,0.47041822174142944,63994.1975,44.5225,True,51983.69855495091,-23.104356324998765
gemma2_9b,73,rank_jensen_bound,0.5,0.5495375823937434,201748.3525,147.13,True,178509.72730160135,-13.018128227340696
gemma2_9b,73,rank_jensen_bound,0.55,0.601348312564491,513435.08,359.41,True,448907.2156648936,-14.374432417962302
gemma2_9b,73,rank_jensen_bound,0.6,0.6318876157014077,803384.3475,553.1825,True,789635.931282456,-1.7411082339192863
gemma2_9b,73,rank_empirical_bound,0.3,0.3247741182027722,6380.7975,4.7175,True,6313.119622407906,-1.0720195662359489
gemma2_9b,73,rank_empirical_bound,0.35,0.34322859169071696,9659.4025,6.9,True,7857.249925931112,-22.93617475653007
gemma2_9b,73,rank_empirical_bound,0.4,0.39178514398587183,21798.7675,14.7725,True,15382.546787416017,-41.71104304934015
gemma2_9b,73,rank_empirical_bound,0.45,0.47041822174142944,63994.1975,44.5225,True,51983.69855495091,-23.104356324998765
gemma2_9b,73,rank_empirical_bound,0.5,0.5495375823937434,201748.3525,147.13,True,178509.72730160135,-13.018128227340696
gemma2_9b,73,rank_empirical_bound,0.55,0.601348312564491,513435.08,359.41,True,448907.2156648936,-14.374432417962302
gemma2_9b,73,rank_empirical_bound,0.6,0.6318876157014077,803384.3475,553.1825,True,789635.931282456,-1.7411082339192863
gemma2_9b,73,shape_jensen_bound,0.3,0.3247741182027722,6380.7975,4.7175,True,6313.119622407906,-1.0720195662359489
gemma2_9b,73,shape_jensen_bound,0.35,0.34322859169071696,9659.4025,6.9,True,7857.249925931112,-22.93617475653007
gemma2_9b,73,shape_jensen_bound,0.4,0.39178514398587183,21798.7675,14.7725,True,15382.546787416017,-41.71104304934015
gemma2_9b,73,shape_jensen_bound,0.45,0.47041822174142944,63994.1975,44.5225,True,51983.69855495091,-23.104356324998765
gemma2_9b,73,shape_jensen_bound,0.5,0.5495375823937434,201748.3525,147.13,True,178509.72730160135,-13.018128227340696
gemma2_9b,73,shape_jensen_bound,0.55,0.601348312564491,513435.08,359.41,True,448907.2156648936,-14.374432417962302
gemma2_9b,73,shape_jensen_bound,0.6,0.6318876157014077,803384.3475,553.1825,True,789635.931282456,-1.7411082339192863
gemma2_9b,73,shape_empirical_bound,0.3,0.3247741182027722,6380.7975,4.7175,True,6313.119622407906,-1.0720195662359489
gemma2_9b,73,shape_empirical_bound,0.35,0.34322859169071696,9659.4025,6.9,True,7857.249925931112,-22.93617475653007
gemma2_9b,73,shape_empirical_bound,0.4,0.39178514398587183,21798.7675,14.7725,True,15382.546787416017,-41.71104304934015
gemma2_9b,73,shape_empirical_bound,0.45,0.47041822174142944,63994.1975,44.5225,True,51983.69855495091,-23.104356324998765
gemma2_9b,73,shape_empirical_bound,0.5,0.5495375823937434,201748.3525,147.13,True,178509.72730160135,-13.018128227340696
gemma2_9b,73,shape_empirical_bound,0.55,0.601348312564491,513435.08,359.41,True,448907.2156648936,-14.374432417962302
gemma2_9b,73,shape_empirical_bound,0.6,0.6318876157014077,803384.3475,553.1825,True,789635.931282456,-1.7411082339192863
gemma2_9b,73,rank_jensen_moment,0.3,0.31774716159586697,5714.11,4.195,True,5766.293629346876,0.9049769696307775
gemma2_9b,73,rank_jensen_moment,0.35,0.32667496615740227,6656.525,4.94,True,6461.040426334204,-3.025589700213449
gemma2_9b,73,rank_jensen_moment,0.4,0.35359902137262156,11178.4875,7.99,True,8990.600085914744,-24.33527676882148
gemma2_9b,73,rank_jensen_moment,0.45,0.4183374138548541,27236.8475,18.625,True,23611.97912704623,-15.351819317854986
gemma2_9b,73,rank_jensen_moment,0.5,0.49518621195093665,89972.735,65.9725,True,78444.91039201868,-14.695439832071266
gemma2_9b,73,rank_jensen_moment,0.55,0.5588439460319043,238431.66,187.115,True,212356.66241275708,-12.278869563584038
gemma2_9b,73,rank_jensen_moment,0.6,0.6050994695527312,556255.335,384.4625,True,478201.229380584,-16.32243934640649
gemma2_9b,73,rank_empirical_moment,0.3,0.31774716159586697,5714.11,4.195,True,5766.293629346876,0.9049769696307775
gemma2_9b,73,rank_empirical_moment,0.35,0.32667496615740227,6656.525,4.94,True,6461.040426334204,-3.025589700213449
gemma2_9b,73,rank_empirical_moment,0.4,0.35359902137262156,11178.4875,7.99,True,8990.600085914744,-24.33527676882148
gemma2_9b,73,rank_empirical_moment,0.45,0.4183374138548541,27236.8475,18.625,True,23611.97912704623,-15.351819317854986
gemma2_9b,73,rank_empirical_moment,0.5,0.49518621195093665,89972.735,65.9725,True,78444.91039201868,-14.695439832071266
gemma2_9b,73,rank_empirical_moment,0.55,0.5588439460319043,238431.66,187.115,True,212356.66241275708,-12.278869563584038
gemma2_9b,73,rank_empirical_moment,0.6,0.6050994695527312,556255.335,384.4625,True,478201.229380584,-16.32243934640649
gemma2_9b,73,shape_jensen_moment,0.3,0.31774716159586697,5714.11,4.195,True,5766.293629346876,0.9049769696307775
