generator,split_seed,price,selected_length_budget,fixed_n,profit,fixed_profit,delta_profit,relative_percent,quality,fixed_quality,cost,fixed_cost,samples,ci_low,ci_high
mistral_7b,42,2e-08,2000000.0,512,0.6061328482570056,0.6055057788017145,0.000627069455291207,0.10356126683582884,0.6255092776570057,0.6258945992017144,0.019376429400000002,0.020388820399999997,504.675,0.0,0.0016897115124007668
mistral_7b,42,1e-07,555798.1977492545,267,0.5495949093003369,0.5394167056190262,0.010178203681310873,1.8868907053278088,0.598648897050337,0.5925615576190261,0.04905398775,0.053144852,328.2225,0.0036382972645125026,0.017453271396417447
mistral_7b,42,2e-07,314597.931233393,186,0.5105236124805494,0.49476567343809486,0.01575793904245456,3.1849297330903443,0.5706727604805494,0.568909018438095,0.060149148000000006,0.07414334500000001,232.025,0.006078205971069126,0.026902106477359817
mistral_7b,42,1e-06,75832.03016143471,43,0.4070857723203584,0.38758431711661845,0.019501455203740085,5.031538775567223,0.4840260973203585,0.4733209346166184,0.076940325,0.0857366175,66.71,0.007853584725004803,0.0346516977818976
mistral_7b,42,2e-06,37230.69070042181,27,0.3593691611006712,0.3351525102554925,0.02421665084517853,7.225561529202859,0.4363238361006712,0.44206404525549253,0.07695467500000003,0.10691153500000002,32.8575,0.012853258888718166,0.038053269418924444
mistral_7b,42,1e-05,7784.085470733542,5,0.2290170352532552,0.20800426085180276,0.02101277440145239,10.102088445401321,0.3185298102532553,0.30774093585180273,0.089512775,0.09973667500000001,7.28,0.010959456272172374,0.032169573698922246
mistral_7b,43,2e-08,1734761.1107235006,511,0.6084597342834064,0.6082614575451362,0.00019827673827008008,0.0325972878620814,0.6273314451834063,0.6278592434951362,0.0188717109,0.01959778595,504.315,-0.0004211443784033212,0.0008487293980000384
mistral_7b,43,1e-07,555798.1977492545,267,0.5534468517675757,0.544110220684222,0.009336631083353543,1.7159448083170852,0.6018116902675757,0.5952679316842221,0.04836483850000001,0.051157710999999974,331.63,0.0033157316983749084,0.015783512217382736
mistral_7b,43,2e-07,236687.44771751988,184,0.5149134452812362,0.5018837646351948,0.013029680646041285,2.596155039107948,0.5611197612812362,0.5723792611351953,0.046206315999999976,0.07049549650000003,196.9225,0.004406781591692064,0.022722563270640452
mistral_7b,43,1e-06,75832.03016143471,38,0.4064699133542176,0.38900974853994497,0.017460164814272705,4.488361764661492,0.48342016085421774,0.4622593685399451,0.0769502475,0.07324961999999999,70.3125,0.007859292620946185,0.028868972630823483
mistral_7b,43,2e-06,37230.69070042181,19,0.35531237481084843,0.3349435740653434,0.020368800745504966,6.081263329903818,0.4319259198108484,0.4079783190653433,0.076613545,0.073034745,34.685,0.009730092177605194,0.03406791487872026
mistral_7b,43,1e-05,7784.085470733542,4,0.21574791846001964,0.19552352184245048,0.02022439661756917,10.343715388814266,0.30398229346001965,0.27284274684245047,0.08823437499999995,0.07731922500000002,7.7625,0.007075902407024818,0.03468899537063048
mistral_7b,44,2e-08,2000000.0,510,0.6098401585682354,0.6094747117526517,0.0003654468155835766,0.059960948097857916,0.6279543830682353,0.6277473640026517,0.0181142245,0.018272652250000007,509.69,-6.952145624999984e-05,0.0009164418063579235
mistral_7b,44,1e-07,555798.1977492545,279,0.5547251523536243,0.5480614082977,0.006663744055924097,1.2158754393274915,0.6053081223536242,0.5980104537977001,0.05058297000000001,0.049949045500000004,346.39,0.0007842796928717317,0.013582982394653336
mistral_7b,44,2e-07,314597.931233393,170,0.5162836832385576,0.507595445444063,0.00868823779449429,1.711646129309435,0.5769380127385574,0.568523585944063,0.06065432949999999,0.060928140499999985,227.73,0.0021092168454275393,0.016359978836922043
mistral_7b,44,1e-06,75832.03016143471,34,0.4073647676911222,0.3990225911029493,0.008342176588172929,2.0906527034256603,0.484153387691122,0.4603496211029491,0.07678862,0.061327030000000005,65.5825,0.0006833431662920013,0.016182960288329832
mistral_7b,44,2e-06,42923.13272447566,21,0.3585907507211099,0.3454041962575242,0.013186554463585626,3.8177169259849064,0.4462912207211097,0.42114931625752416,0.08770046999999996,0.07574512,37.2275,0.0044547825203177125,0.022811120688907224
mistral_7b,44,1e-05,5856.349136371518,4,0.21703739478387749,0.20147822677151506,0.015559168012362496,7.722505931128359,0.28540826978387757,0.27339875177151507,0.06837087500000001,0.07192052500000001,5.6275,0.005906973238886914,0.025910932791714
mistral_7b,45,2e-08,2000000.0,511,0.6166434080732351,0.6165088659644067,0.00013454210882863694,0.021823223680355726,0.6345958730732351,0.6344249988144065,0.017952465,0.017916132850000002,512.0,-4.1173146250012115e-05,0.0004802057327359072
