split,method,target_accuracy,target_margin,target_reached_train,fallback_reason,config_id,divisor,family,calibration,confidence_scale,reward_prior_strength,cost_prior_strength,cap_factor,tail_quantile,tail_decay,train_accuracy,train_predicted_accuracy,selection_accuracy,train_chars,profile_accuracy,profile_chars,selection_chars,adaptive_accuracy,adaptive_predicted_accuracy,adaptive_chars,adaptive_opens,target_error_pp,train_fixed_n,train_fixed_target_reached_train,train_fixed_train_accuracy,train_fixed_train_chars,train_fixed_test_accuracy,train_fixed_test_chars,saving_vs_train_fixed_pct,oracle_fixed_n,oracle_fixed_accuracy,oracle_fixed_chars,oracle_target_reached,oracle_accuracy_overshoot_pp,saving_vs_oracle_fixed_pct,matched_fixed_n_low,matched_fixed_n_high,matched_fixed_high_weight,matched_fixed_expected_n,matched_fixed_accuracy,matched_fixed_chars,matched_target_reached,matched_accuracy_error_pp,saving_vs_matched_fixed_pct,cost_unit,policy_uses_fixed_n,policy_is_mixture,equal_quality_fixed_n_low,equal_quality_fixed_n_high,equal_quality_fixed_high_weight,equal_quality_fixed_expected_n,equal_quality_fixed_accuracy,equal_quality_fixed_chars,equal_quality_target_reached,equal_quality_accuracy_error_pp,saving_vs_equal_quality_fixed_pct
101,train_selected_ucb,0.35,0.0,True,,0,2800000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3201219512195122,0.31514133213837187,0.3511904761904762,30318.23780487805,0.3511904761904762,40188.76546613821,40188.76546613821,0.33035714285714285,0.3054174807504175,31182.586805555555,65.43253968253968,-1.9642857142857129,115,True,0.3500100744441768,61477.021246189026,0.3358317450302667,58523.47539992559,46.717814360021414,89,0.330460923319428,45292.080961681546,True,0.010378046228515236,31.15223203822992,88,89,0.5756714402690786,88.57567144026908,0.33035714285714285,45076.14024840417,True,0.0,30.82241151590278,output_characters,False,False,77,78,0.4506229947612767,77.45062299476126,0.32740273703279416,39414.60547428542,True,-0.29544058243486937,20.885706122570568
102,train_selected_ucb,0.25,0.0,True,,0,25000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.2149390243902439,0.21817084302410356,0.2619047619047619,3035.862804878049,0.2619047619047619,2892.9258127298463,2892.9258127298463,0.30456349206349204,0.21744750027969553,2883.5223214285716,6.513392857142857,5.456349206349204,56,True,0.2501631117752544,31414.548780487803,0.43121037144201513,27055.6640625,89.34226003557893,8,0.31253697201253444,3865.0948660714284,True,0.7973479949042406,25.39582024905251,7,8,0.16450037522655922,7.1645003752265595,0.30456349206349204,3461.4342022818746,True,0.0,16.69573497807144,output_characters,False,False,8,9,0.15789670135934483,8.157896701359345,0.31385001660256007,3941.38058229563,True,0.9286524539068031,26.839789733041112
102,train_selected_ucb,0.3,0.0,True,,0,140000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.2149390243902439,0.2558187980024224,0.30773809523809526,7654.367378048781,0.30773809523809526,7434.221686361343,7434.221686361343,0.35813492063492064,0.2551662671898567,7421.725198412699,17.45436507936508,5.813492063492065,181,True,0.30006369729354115,101536.30945121951,0.4743771320003948,87447.77134486607,91.51296244115385,16,0.3597815488827415,7730.189732142857,True,0.16466282478208583,3.9903876155527405,15,16,0.6088407438012036,15.608840743801203,0.3581349206349207,7541.20627802407,True,5.551115123125783e-15,1.5843762285027658,output_characters,False,False,18,19,0.60251430951381,18.60251430951381,0.36941627211760586,8987.560319215265,True,1.128135148268522,17.42224881044564
102,train_selected_ucb,0.35,0.0,True,,0,2800000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.2606707317073171,0.3035342353651833,0.3511904761904762,45749.11737804878,0.3511904761904762,40188.76546613821,40188.76546613821,0.40327380952380953,0.3106546380759415,41098.93898809524,101.88541666666667,5.327380952380956,384,True,0.350182732923017,215414.0487804878,0.49248323096834085,185524.55357142858,77.84716998536165,33,0.4037968884065842,15943.516322544643,True,0.05230788827746413,-157.77838562488262,32,33,0.698829812834738,32.69882981283474,0.40327380952380953,15798.009904516364,True,0.0,-160.15263464511307,output_characters,False,False,77,78,0.4506229947612767,77.45062299476126,0.4453856371852691,37419.25066388569,True,4.211182766145955,-9.83367720872325
103,train_selected_ucb,0.25,0.0,True,,0,25000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.21341463414634146,0.23196021826413332,0.2619047619047619,2937.762195121951,0.2619047619047619,2892.9258127298463,2892.9258127298463,0.27232142857142855,0.2732235875108335,2439.9737103174602,5.006944444444445,2.232142857142855,14,True,0.25246310272575595,7748.823266006097,0.3004452158106363,6866.234375,64.46416511499493,7,0.27309606266743475,3433.1171875,True,0.07746340960061993,28.92833022998985,6,7,0.8907873479318478,6.890787347931847,0.27232142857142855,3379.5543542274813,True,0.0,27.801909524985167,output_characters,False,False,8,9,0.15789670135934483,8.157896701359345,0.27966637169435904,4001.002197040903,True,0.7344943122930492,39.01593675399534
103,train_selected_ucb,0.3,0.0,True,,0,140000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.24390243902439024,0.27216798666925207,0.30773809523809526,7235.173780487805,0.30773809523809526,7434.221686361343,7434.221686361343,0.30357142857142855,0.31255673749665147,5025.644345238095,10.187996031746032,0.3571428571428559,61,True,0.3001924031498601,33762.72994474085,0.3482914000443145,29917.1640625,83.2014681112855,16,0.30511035820386456,7847.125,True,0.15389296324360147,35.95559717427599,15,16,0.312659864712576,15.312659864712575,0.30357142857142855,7510.022252555167,True,0.0,33.08083283603855,output_characters,False,False,18,19,0.60251430951381,18.60251430951381,0.31023243446115867,9123.515943815222,True,0.666100588973012,44.91548679053989
103,train_selected_ucb,0.35,0.0,True,,0,2800000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.2896341463414634,0.3264096434630599,0.3511904761904762,34073.84146341463,0.3511904761904762,40188.76546613821,40188.76546613821,0.35367063492063494,0.35774516305673704,22045.435515873014,43.854166666666664,0.3670634920634963,257,True,0.3500601367588667,142246.2556688262,0.39855940613654617,126044.4453125,82.50979211244405,73,0.35377512271299016,35802.5078125,True,0.010448779235522343,38.42488456024825,72,73,0.7520930609639773,72.75209306096397,0.35367063492063494,35680.923016313565,True,0.0,38.21506381493077,output_characters,False,False,77,78,0.4506229947612767,77.45062299476126,0.3555856722039332,37985.29499798538,True,0.1915037283298282,41.96323730790498
104,train_selected_ucb,0.25,0.0,True,,0,25000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.21951219512195122,0.1860603789354893,0.2619047619047619,2593.131097560976,0.2619047619047619,2892.9258127298463,2892.9258127298463,0.2802579365079365,0.17790342651264274,2547.7723214285716,5.3288690476190474,3.025793650793651,12,True,0.2529329422415018,6257.66787347561,0.2939506488724137,6260.377232142857,59.30321405637568,9,0.2831408775488588,4695.282924107143,True,0.28829410409222933,45.73761874183425,8,9,0.39483026087174805,8.394830260871748,0.2802579365079365,4379.567019405448,True,0.0,41.82593141879933,output_characters,False,False,8,9,0.15789670135934483,8.157896701359345,0.2791292193257554,4255.959230946946,True,-0.11287171821811048,40.13635509234671
104,train_selected_ucb,0.3,0.0,True,,0,140000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.24695121951219512,0.2177902722068318,0.30773809523809526,5435.588414634146,0.30773809523809526,7434.221686361343,7434.221686361343,0.29811507936507936,0.20913821754204998,5973.908730158731,12.703373015873016,-0.18849206349206282,38,True,0.30027280241208315,19815.9482660061,0.33066199968061816,19824.527901785714,69.86607318088707,14,0.2992941233870778,7303.7734375,True,0.1179044021998421,18.20791291955063,13,14,0.5345446515336195,13.534544651533619,0.29811507936507936,7060.946265323496,True,0.0,15.395068795569754,output_characters,False,False,18,19,0.60251430951381,18.60251430951381,0.3084982451385022,9704.89642032433,True,1.0383165773422853,38.44438444857625
104,train_selected_ucb,0.35,0.0,True,,0,2800000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3048780487804878,0.2509059791725283,0.3511904761904762,26230.467987804877,0.3511904761904762,40188.76546613821,40188.76546613821,0.33581349206349204,0.24278186103241345,30556.4751984127,67.81498015873017,-1.4186507936507942,169,True,0.3501306798404788,88128.82255144817,0.38428055287698715,88166.97935267858,65.34249508970574,45,0.33611633941620556,23476.414620535714,True,0.030284735271352003,-30.158185107549546,44,45,0.5864638544359412,44.58646385443594,0.33581349206349204,23260.67359800594,True,0.0,-31.365392621442428,output_characters,False,False,77,78,0.4506229947612767,77.45062299476126,0.3545151687419572,40405.84306764029,True,1.8701676678465173,24.376097914203967
