split,fold,mixture,problem_id,n,predicted,correct,brier
0,1,0.0,3244,256,0.5731125937367207,0.7381528696940128,0.2200152665173661
0,1,0.0,3244,512,0.573489932885906,1.0,0.18191083734966898
0,1,0.0,3267,10,0.4517024871319684,0.6336810508768498,0.2166669747673861
0,1,0.0,3267,16,0.5074513578538222,0.746905858220299,0.2077765575771517
0,1,0.0,3267,32,0.5623114421971178,0.9032022357495038,0.18589009102032766
0,1,0.0,3267,64,0.6015775093584994,0.986924938328502,0.16049612896362198
0,1,0.0,3267,128,0.6319186491984454,0.9998320892493773,0.1375923647739421
0,1,0.0,3267,256,0.6599739975629105,0.9999999969527879,0.11643881500120737
0,1,0.0,3267,512,0.6706680584551149,1.0,0.10845952772172361
0,1,0.0,3317,10,0.26036949959548156,0.03586591194154284,0.11901925127422586
0,1,0.0,3317,16,0.3216312402207845,0.026485528736034818,0.14614865637591729
0,1,0.0,3317,32,0.4123759978955469,0.009444563484221145,0.1941256940336602
0,1,0.0,3317,64,0.4897784223857796,0.0010404718301612946,0.24964247592523908
0,1,0.0,3317,128,0.5425006239249784,5.6054213162065485e-06,0.2976117263417397
0,1,0.0,3317,256,0.5696840154348193,2.0836769992500866e-12,0.3249984561606706
0,1,0.0,3317,512,0.573489932885906,0.0,0.32889070312148094
0,1,0.0,3328,10,0.140173322874886,0.018187351534300844,0.03608843700929954
0,1,0.0,3328,16,0.16637510344939047,0.02772925454520303,0.049892010759947966
0,1,0.0,3328,32,0.203127964762806,0.048621737344992644,0.07648276426618064
0,1,0.0,3328,64,0.2384399176049609,0.07372552077789463,0.10914812986311953
0,1,0.0,3328,128,0.28222013927402856,0.0794119343245547,0.13858349133515674
0,1,0.0,3328,256,0.3520336993299717,0.031126609483312122,0.1537228400694035
0,1,0.0,3328,512,0.44942832014072126,0.0,0.20198581494451065
0,1,0.0,3329,10,0.637061849350791,0.02685123144219211,0.4030961738000498
0,1,0.0,3329,16,0.6568204311235951,0.021378398757432027,0.4270852068135358
0,1,0.0,3329,32,0.6726190111434869,0.01077195829625804,0.4495560113860649
0,1,0.0,3329,64,0.6797597971888009,0.00217442871465423,0.4619311324730155
0,1,0.0,3329,128,0.6889833658624186,3.5260111256350566e-05,0.47569239934022867
0,1,0.0,3329,256,0.7072987091392573,2.0068233542319561e-10,0.5016132684511032
0,1,0.0,3329,512,0.7439293598233997,0.0,0.5534308924072533
0,1,0.0,3346,10,0.26321179222943225,0.09913511138880293,0.1678949832438273
0,1,0.0,3346,16,0.3399752287229554,0.09988066829329278,0.2086246872306093
0,1,0.0,3346,32,0.45293181490227463,0.06705472222708858,0.2602622368820617
0,1,0.0,3346,64,0.5362375993621847,0.021852555768424698,0.3020034370479735
0,1,0.0,3346,128,0.5695857232305716,0.001984540666937554,0.32541432511421625
