generator,reward_model,split_seed,price_per_million,policy,gain_factor,cost_beta,fixed_n,fixed_net_utility,adaptive_quality,adaptive_output_tokens,adaptive_calls,adaptive_net_utility,relative_gain_percent,mean_cost_discount
gemma3_4b,fsfairx_llama3_rm,72,0.1,current_beta1,1.0,1.0,541,0.5627310571562558,0.5977169911694272,300138.9475,529.715,0.5677030964194272,0.883555154801195,0.9949777066769202
gemma3_4b,fsfairx_llama3_rm,72,0.1,current_beta2,1.0,2.0,541,0.5627310571562558,0.5977169911694272,301129.4225,531.06,0.5676040489194272,0.8659539403772857,0.9900386938248651
gemma3_4b,fsfairx_llama3_rm,72,0.1,top2_factor4_beta0,4.0,0.0,541,0.5627310571562558,0.6288291231002406,690583.33,925.3325,0.5597707901002407,-0.526053612710621,1.0
gemma3_4b,fsfairx_llama3_rm,72,0.1,top2_factor4_beta2,4.0,2.0,541,0.5627310571562558,0.628936399750391,691141.3425,925.8075,0.5598222655003909,-0.5169061879336061,0.9923289682774437
gemma3_4b,fsfairx_llama3_rm,72,0.1,top2_factor1_beta2,1.0,2.0,541,0.5627310571562558,0.5982428693523567,383505.27,630.8675,0.5598923423523567,-0.5044531962114259,0.9907209633836428
gemma3_4b,fsfairx_llama3_rm,72,0.1,top2_factor0p25_beta2,0.25,2.0,541,0.5627310571562558,0.5550461913159612,132058.605,300.7275,0.5418403308159612,-3.71238197619042,0.9855815691400531
gemma3_4b,fsfairx_llama3_rm,72,0.2,current_beta0,1.0,0.0,244,0.5325474026045639,0.5749228468633394,170666.585,350.2925,0.5407895298633394,1.5476795527431335,1.0
gemma3_4b,fsfairx_llama3_rm,72,0.2,current_beta1,1.0,1.0,244,0.5325474026045639,0.5750446347699474,171514.63,351.9,0.5407417087699474,1.538699865083766,0.9936289989505177
gemma3_4b,fsfairx_llama3_rm,72,0.2,current_beta2,1.0,2.0,244,0.5325474026045639,0.5752930780483585,172395.8875,353.5325,0.5408139005483585,1.5522557998339948,0.9873945822969671
gemma3_4b,fsfairx_llama3_rm,72,0.2,top2_factor4_beta0,4.0,0.0,244,0.5325474026045639,0.6181198741950779,568092.4975,814.7525,0.5045013746950778,-5.266390892589008,1.0
gemma3_4b,fsfairx_llama3_rm,72,0.2,top2_factor4_beta2,4.0,2.0,244,0.5325474026045639,0.6181613764467773,569462.3775,816.0125,0.5042689009467772,-5.310044048564161,0.9918658758822276
gemma3_4b,fsfairx_llama3_rm,72,0.2,top2_factor1_beta2,1.0,2.0,244,0.5325474026045639,0.5772488355009041,228235.6225,442.6025,0.5316017110009041,-0.17757885946576862,0.9886421430219992
gemma3_4b,fsfairx_llama3_rm,72,0.2,top2_factor0p25_beta2,0.25,2.0,244,0.5325474026045639,0.5294884058085415,75480.655,198.115,0.5143922748085415,-3.409110195116885,0.9811304141712702
gemma3_4b,fsfairx_llama3_rm,72,0.5,current_beta0,1.0,0.0,124,0.4878335831404347,0.5402761835725329,77788.485,187.385,0.501381941072533,2.7772499475908523,1.0
gemma3_4b,fsfairx_llama3_rm,72,0.5,current_beta1,1.0,1.0,124,0.4878335831404347,0.5407587977847578,78416.8075,188.7125,0.5015503940347578,2.811780772865399,0.990764388967917
gemma3_4b,fsfairx_llama3_rm,72,0.5,current_beta2,1.0,2.0,124,0.4878335831404347,0.5417001461846734,79205.46,190.1475,0.5020974161846734,2.923913715086019,0.9818810646189371
gemma3_4b,fsfairx_llama3_rm,72,0.5,top2_factor4_beta0,4.0,0.0,124,0.4878335831404347,0.5919711518091865,326148.3575,565.85,0.4288969730591865,-12.081294137612058,1.0
gemma3_4b,fsfairx_llama3_rm,72,0.5,top2_factor4_beta2,4.0,2.0,124,0.4878335831404347,0.5919711518091865,327993.6225,568.1,0.4279743405591865,-12.270422670760711,0.9901681611375891
gemma3_4b,fsfairx_llama3_rm,72,0.5,top2_factor1_beta2,1.0,2.0,124,0.4878335831404347,0.547130306932682,110326.8875,262.52,0.49196686318268207,0.8472725505364653,0.9842733214841414
gemma3_4b,fsfairx_llama3_rm,72,0.5,top2_factor0p25_beta2,0.25,2.0,124,0.4878335831404347,0.48691669429845036,35526.185,101.23,0.46915360179845034,-3.829170845871605,0.9730321788614233
gemma3_4b,fsfairx_llama3_rm,72,1.0,current_beta0,1.0,0.0,63,0.44957610221082617,0.5120243393443861,42075.5575,112.5125,0.46994878184438604,4.5315308205608815,1.0
gemma3_4b,fsfairx_llama3_rm,72,1.0,current_beta1,1.0,1.0,63,0.44957610221082617,0.5121398055414133,42522.63,113.55,0.46961717554141325,4.457771049669569,0.9875579464378467
gemma3_4b,fsfairx_llama3_rm,72,1.0,current_beta2,1.0,2.0,63,0.44957610221082617,0.5132947498813435,43004.7425,114.6225,0.4702900073813435,4.607430214518762,0.9756466803193747
gemma3_4b,fsfairx_llama3_rm,72,1.0,top2_factor4_beta0,4.0,0.0,63,0.44957610221082617,0.5699243767033013,189903.3975,389.4275,0.38002097920330136,-15.471267859986769,1.0
gemma3_4b,fsfairx_llama3_rm,72,1.0,top2_factor4_beta2,4.0,2.0,63,0.44957610221082617,0.5701135038760183,191586.645,391.925,0.37852685887601834,-15.803607661843575,0.9877514595902249
gemma3_4b,fsfairx_llama3_rm,72,1.0,top2_factor1_beta2,1.0,2.0,63,0.44957610221082617,0.5209203961777163,63265.055,172.35,0.45765534117771633,1.7970792769366228,0.9794862311655312
