generator,split_seed,target,attained_quality,mean_length,matched_feasible,matched_saving_percent,train_feasible
llama3.2_3b,75,0.45,0.464745148973631,39321.16683827757,True,48.39681785806705,True
llama3.2_3b,75,0.5,0.510622056693084,73614.9873481708,True,45.351088791559924,True
llama3.2_3b,75,0.55,0.5516249125414643,143094.36419280973,True,32.48465325202059,True
llama3.2_3b,75,0.6,0.6028145905015464,297301.6835323964,True,30.936832643704403,True
mistral_7b,71,0.3,0.3126809337927735,8733.917781164382,True,22.541997443967876,True
mistral_7b,71,0.35,0.35657463653237664,15403.685311722558,True,18.854208171203723,True
mistral_7b,71,0.4,0.40429490731419604,26698.967340199244,True,14.151527194475321,True
mistral_7b,71,0.45,0.44605417442977197,45554.54868736111,True,4.916993217228005,True
mistral_7b,71,0.5,0.4949343583620562,86094.05452177946,True,10.771174754338396,True
mistral_7b,71,0.55,0.5418804412707544,185393.6413307242,True,14.650380293841458,True
mistral_7b,71,0.6,0.5755740488785898,373755.79004374763,True,9.264552371567591,True
mistral_7b,72,0.3,0.29997967832351013,8214.26988826149,True,14.684273165487639,True
mistral_7b,72,0.35,0.3476801810743747,14706.614695583694,True,11.554096842071903,True
mistral_7b,72,0.4,0.39762165670960975,25507.625984028262,True,10.805092355711876,True
mistral_7b,72,0.45,0.4470032812084364,45859.37253109885,True,1.106597857006808,True
mistral_7b,72,0.5,0.4931109153802699,85140.9609311462,True,12.0436782991857,True
mistral_7b,72,0.55,0.5394645622526728,181790.69585194744,True,11.149156918164383,True
mistral_7b,72,0.6,0.5886124215886679,418406.7120579028,True,10.012870905608118,True
mistral_7b,73,0.3,0.320420153068606,9059.319257820358,True,20.674973968384247,True
mistral_7b,73,0.35,0.36759242684859034,16458.34399008414,True,14.077481144061055,True
mistral_7b,73,0.4,0.4190330269536702,29217.228871864118,True,16.21072046516656,True
mistral_7b,73,0.45,0.46667570433552946,52443.05084178062,True,13.081673866587096,True
mistral_7b,73,0.5,0.515747660284558,100954.96182660284,True,27.319101461593377,True
mistral_7b,73,0.55,0.5527940340496823,204717.7617430111,True,14.136531782304484,True
mistral_7b,73,0.6,0.5984197071625142,455673.2916712663,True,13.351167846348655,True
mistral_7b,74,0.3,0.2839369265543835,7502.378052104439,True,17.54332251509162,True
mistral_7b,74,0.35,0.34613577420765634,14599.33113940673,True,18.63901750992911,True
mistral_7b,74,0.4,0.4087654901813332,27570.323537521574,True,21.701095577677965,True
mistral_7b,74,0.45,0.4557438090524665,48512.57542585281,True,14.625866455195435,True
