generator,split_seed,method,target,attained_quality,fixed_attained_quality,mean_length,fixed_mean_length,samples,train_feasible,fixed_train_feasible,matched_feasible,matched_length,matched_saving_percent,unmatched_train_baseline_saving,adaptive_low,adaptive_high,adaptive_high_weight,fixed_low,fixed_high,fixed_high_weight
gemma2_9b,74,moment_envelope,0.5,0.5010557911987941,0.5030672252827612,56198.11271676581,86513.71027566594,82.48203327386784,True,True,True,81462.7768525403,31.013752675663476,35.04137952505214,1108,1351,0.11655987138929698,54,64,0.859279681727239
gemma2_9b,74,moment_envelope,0.55,0.5587102193586712,0.5584207921409691,157018.80549717307,212017.5365225384,217.7005237785784,True,True,True,211267.63742540937,25.67777658203306,25.940651857125374,1349,1348,0.7851431275760311,139,161,0.648030084230087
gemma2_9b,74,moment_envelope,0.6,0.619965292206385,0.6152531286268083,552759.7465701048,590838.3001387998,555.5287873356614,True,True,True,634616.6618501509,12.898639478106633,6.444835001344629,1098,1342,0.15295226717807298,412,502,0.1693423789907229
gemma2_9b,74,all_train_selected,0.3,0.3184949168063513,0.3061033221218217,5551.645,4782.444046397333,4.0125,True,True,True,5551.015,-0.011349275763072875,-16.0838463793866,1273,1273,0.0,3,4,0.44668015082411366
gemma2_9b,74,all_train_selected,0.35,0.35048826545866196,0.3579600055740806,7877.25891557621,9193.655926367821,12.892051792523132,True,True,True,8235.85876672188,4.354128225154152,14.318536840345796,1408,1407,0.41083610754058464,6,8,0.3220581202462984
gemma2_9b,74,all_train_selected,0.4,0.40800006640678127,0.39972205874326194,14484.879974699868,17045.420770490608,19.439524467953262,True,True,True,19343.310839854013,25.116852566645786,15.021869100606777,1308,380,0.6506587981513654,12,13,0.3314957259360439
gemma2_9b,74,all_train_selected,0.45,0.44942099950507136,0.4507540623901813,27490.5664419848,38623.090881571865,47.76480354520099,True,True,True,36378.35674832757,24.431533199342137,28.823494405774497,377,1354,0.11432485457351912,21,32,0.6318777187703708
gemma2_9b,74,all_train_selected,0.5,0.5010557911987941,0.5030672252827612,56198.11271676581,86513.71027566594,82.48203327386784,True,True,True,81462.7768525403,31.013752675663476,35.04137952505214,1108,1351,0.11655987138929698,54,64,0.859279681727239
gemma2_9b,74,all_train_selected,0.55,0.5587102193586712,0.5584207921409691,157018.80549717307,212017.5365225384,217.7005237785784,True,True,True,211267.63742540937,25.67777658203306,25.940651857125374,1349,1348,0.7851431275760311,139,161,0.648030084230087
gemma2_9b,74,all_train_selected,0.6,0.618192579950581,0.6152531286268083,489494.57339428394,590838.3001387998,539.7702762995063,True,True,True,614871.556317237,20.39075992942272,17.15253170295632,464,218,0.7711520449122518,412,502,0.1693423789907229
gemma2_9b,75,spacing,0.3,0.3122506001870066,0.2905836465477586,5857.7125,4506.04889689049,4.19,True,True,True,5959.827985353198,1.7133965209089275,-29.996647485167284,293,293,0.0,3,4,0.07731787962329242
gemma2_9b,75,spacing,0.35,0.3459465900829331,0.34348924579968565,7845.040504803995,8746.16363571086,9.437257978181876,True,True,True,9035.146161435403,13.171957989026462,10.303067361186235,432,334,0.6217484574778237,5,6,0.9976746004351358
gemma2_9b,75,spacing,0.4,0.386365293618156,0.3944772584907664,13474.157593388569,17362.85552128807,16.798302609441137,True,True,True,15390.809703689234,12.453224665894203,22.39664969354659,332,380,0.5564766046731963,11,13,0.4641905898371756
