generator,split_seed,method,target,attained_quality,mean_length,samples,train_feasible,matched_feasible,matched_length,matched_saving_percent,adaptive_low,adaptive_high,adaptive_high_weight
gemma2_9b,73,spacing,0.5,0.512385134050985,71141.71925216033,142.3106322472046,True,True,100380.4388287007,29.12790571321996,226,470,0.09627231197359279
gemma2_9b,73,spacing,0.55,0.5669488844749815,176732.9961104405,286.04605736356433,True,True,248115.78985673358,28.76995204034002,223,467,0.5589871094729079
gemma2_9b,73,spacing,0.6,0.6165878037738962,460267.3094500998,533.7735405025634,True,True,605851.1018500158,24.029632356096077,464,218,0.7017970201742197
gemma2_9b,73,direct_gain,0.3,0.3139018493361965,5466.155,4.1575,True,True,5467.057870162344,0.01651473578270224,538,538,0.0
gemma2_9b,73,direct_gain,0.35,0.3555876740469908,6648.849891155663,9.941333189587903,True,True,9230.469600552395,27.968454706163982,530,529,0.9819060607186646
gemma2_9b,73,direct_gain,0.4,0.40258315512017423,12284.698895224321,23.170290540296666,True,True,17634.751482093132,30.33812295172642,526,525,0.6235973813806727
gemma2_9b,73,direct_gain,0.45,0.45320441669084893,23940.939597375913,43.81266828001903,True,True,39942.575138792265,40.06160215212451,523,522,0.23837405211610532
gemma2_9b,73,direct_gain,0.5,0.5164470229012297,57914.83346043955,97.30468870998475,True,True,107505.34121012308,46.128412962065845,520,519,0.8056065585430457
gemma2_9b,73,direct_gain,0.55,0.566917988645232,132395.56540609326,197.2512597342197,True,True,247979.47692588807,46.61027313737684,516,515,0.38205772615189953
gemma2_9b,73,direct_gain,0.6,0.6202177568655631,370386.8308860255,438.67692065252913,True,True,649454.9260643616,42.96958633749437,511,510,0.8685808172324373
gemma2_9b,73,log_gain,0.3,0.31323825592409327,5462.3375,4.065,True,True,5415.418142345392,-0.8664032291010981,587,587,0.0
gemma2_9b,73,log_gain,0.35,0.35711236384192857,6805.819434965774,9.593883754425685,True,True,9414.376325843521,27.708228358334953,577,575,0.9681808813018611
gemma2_9b,73,log_gain,0.4,0.4038516029754209,12847.577872713331,19.71076812030011,True,True,18076.246167202564,28.925631163267173,572,571,0.6676768769212088
gemma2_9b,73,log_gain,0.45,0.46340274794108444,32120.780590368304,41.38951779082045,True,True,46388.59539559553,30.75716064164752,569,567,0.7924771264161464
gemma2_9b,73,log_gain,0.5,0.5135931970773345,74269.78919406446,81.2726210934943,True,True,102450.37392099207,27.506570887344918,564,562,0.576145542846474
gemma2_9b,73,log_gain,0.55,0.5618141430026831,164148.52930256975,156.81874147690974,True,True,225461.22239896038,27.19434075802889,556,554,0.17752053091931388
gemma2_9b,73,log_gain,0.6,0.6179115686881361,454399.645,365.495,False,True,621752.4678357479,26.916310186638203,539,539,0.0
gemma2_9b,73,learned_gain,0.3,0.31323825592409327,5462.3375,4.065,True,True,5415.418142345392,-0.8664032291010981,587,587,0.0
gemma2_9b,73,learned_gain,0.35,0.3555384578182187,6647.214237071585,9.927612234144263,True,True,9224.533182866178,27.93983060933375,577,529,0.9854023525672403
gemma2_9b,73,learned_gain,0.4,0.40258315512017423,12284.698895224321,23.170290540296666,True,True,17634.751482093132,30.33812295172642,526,525,0.6235973813806727
gemma2_9b,73,learned_gain,0.45,0.45320441669084893,23940.939597375913,43.81266828001903,True,True,39942.575138792265,40.06160215212451,523,522,0.23837405211610532
gemma2_9b,73,learned_gain,0.5,0.5164470229012297,57914.83346043955,97.30468870998475,True,True,107505.34121012308,46.128412962065845,520,519,0.8056065585430457
gemma2_9b,73,learned_gain,0.55,0.566917988645232,132395.56540609326,197.2512597342197,True,True,247979.47692588807,46.61027313737684,516,515,0.38205772615189953
gemma2_9b,73,learned_gain,0.6,0.6202177568655631,370386.8308860255,438.67692065252913,True,True,649454.9260643616,42.96958633749437,511,510,0.8685808172324373
gemma2_9b,73,all_train_selected,0.3,0.31323825592409327,5462.3375,4.065,True,True,5415.418142345392,-0.8664032291010981,587,587,0.0
gemma2_9b,73,all_train_selected,0.35,0.3555384578182187,6647.214237071585,9.927612234144263,True,True,9224.533182866178,27.93983060933375,577,529,0.9854023525672403
