split,method,divisor,adaptive_accuracy,fixed_accuracy,accuracy_gap_pp,adaptive_chars,fixed_chars,cost_mismatch,fixed_n_low,fixed_n_high,fixed_high_weight
79,selected_ucb,300000.0,0.2767857142857143,0.27911710108446564,-0.23313867987513337,12484.763888888889,12484.763888888889,0.0,20,21,0.9250189465706701
79,gaussian_calibrated_probability,400000.0,0.30357142857142855,0.29811507936507936,0.5456349206349187,22162.89236111111,22162.892361111106,3.637978807091713e-12,37,38,0.17156624512713378
79,shifted_exponential_calibrated_probability,400000.0,0.30357142857142855,0.3015671876780584,0.2004240893370146,30799.45535714286,30799.45535714286,0.0,51,52,0.6531501196552449
79,selected_ucb,400000.0,0.30357142857142855,0.3015671876780584,0.2004240893370146,30799.45535714286,30799.45535714286,0.0,51,52,0.6531501196552449
79,gaussian_calibrated_probability,500000.0,0.31101190476190477,0.29998125316302277,1.1030651598882002,25502.498015873014,25502.49801587301,3.637978807091713e-12,42,43,0.7622063766539072
79,shifted_exponential_calibrated_probability,500000.0,0.3100198412698413,0.29993056975249227,1.0089271517349008,25849.590773809523,25849.590773809523,0.0,43,44,0.339971378975689
79,selected_ucb,500000.0,0.3100198412698413,0.29993056975249227,1.0089271517349008,25849.590773809523,25849.590773809523,0.0,43,44,0.339971378975689
79,gaussian_calibrated_probability,600000.0,0.3169642857142857,0.30067108986555824,1.629319584872746,28469.28521825397,28469.28521825397,0.0,47,48,0.7176390563217783
79,shifted_exponential_calibrated_probability,600000.0,0.31646825396825395,0.3010912698412698,1.5376984126984128,28843.873015873014,28843.873015873014,0.0,48,49,0.3561940196245297
79,selected_ucb,600000.0,0.31646825396825395,0.3010912698412698,1.5376984126984128,28843.873015873014,28843.873015873014,0.0,48,49,0.3561940196245297
79,gaussian_calibrated_probability,700000.0,0.31994047619047616,0.3011781614008625,1.8762314789613654,30648.490079365078,30648.490079365078,0.0,51,52,0.39172446137961464
79,shifted_exponential_calibrated_probability,700000.0,0.3209325396825397,0.30278152265913333,1.815101702340638,31263.113095238095,31263.113095238095,0.0,52,53,0.46918322693757136
79,selected_ucb,700000.0,0.3209325396825397,0.30278152265913333,1.815101702340638,31263.113095238095,31263.113095238095,0.0,52,53,0.46918322693757136
79,gaussian_calibrated_probability,800000.0,0.32589285714285715,0.3042913634188852,2.1601493723971963,32832.90128968254,32832.90128968254,0.0,55,56,0.2256943262363007
79,shifted_exponential_calibrated_probability,800000.0,0.32688492063492064,0.30654761904761907,2.0337301587301573,34001.16468253968,34001.16468253968,0.0,57,58,0.2733364639625969
79,selected_ucb,800000.0,0.32688492063492064,0.30654761904761907,2.0337301587301573,34001.16468253968,34001.16468253968,0.0,57,58,0.2733364639625969
79,gaussian_calibrated_probability,900000.0,0.3253968253968254,0.3179563492063492,0.744047619047622,47871.270833333336,47871.270833333336,0.0,80,81,0.6126535118779912
79,shifted_exponential_calibrated_probability,900000.0,0.3288690476190476,0.30822240952799973,2.064663809104789,37141.850694444445,37141.850694444445,0.0,62,63,0.6236223915525578
79,selected_ucb,900000.0,0.3288690476190476,0.30822240952799973,2.064663809104789,37141.850694444445,37141.850694444445,0.0,62,63,0.6236223915525578
79,gaussian_calibrated_probability,1000000.0,0.32837301587301587,0.3197023825167395,0.867063335627638,50576.733134920636,50576.733134920636,0.0,85,86,0.17333438458229358
