split,method,divisor,config_id,family,calibration,confidence_scale,reward_prior_strength,cost_prior_strength,cap_factor,tail_quantile,train_accuracy,train_chars,train_utility,fixed_n
78,shifted_exponential_calibrated_probability,800000.0,374,shifted_exponential,bounded_identity,0.8,1000000.0,10.0,1.3,0.75,0.3780487804878049,39517.28048780488,0.3286521798780488,79
78,selected_ucb,800000.0,374,shifted_exponential,bounded_identity,0.8,1000000.0,10.0,1.3,0.75,0.3780487804878049,39517.28048780488,0.3286521798780488,79
78,gaussian_calibrated_probability,900000.0,36,gaussian,bounded_identity,0.0,1000000.0,10.0,1.1,,0.3719512195121951,36715.29878048781,0.3311564430894309,91
78,shifted_exponential_calibrated_probability,900000.0,330,shifted_exponential,bounded_identity,0.2,1000000.0,10.0,1.1,0.75,0.36585365853658536,26533.451219512193,0.3363720460704607,91
78,selected_ucb,900000.0,330,shifted_exponential,bounded_identity,0.2,1000000.0,10.0,1.1,0.75,0.36585365853658536,26533.451219512193,0.3363720460704607,91
78,gaussian_calibrated_probability,1000000.0,28,gaussian,bounded_identity,0.0,1000000.0,0.0,1.0,,0.3719512195121951,39182.76829268293,0.3327684512195122,103
78,shifted_exponential_calibrated_probability,1000000.0,364,shifted_exponential,bounded_identity,0.8,1000000.0,0.0,1.0,0.75,0.3780487804878049,42209.62195121951,0.33583915853658536,103
78,selected_ucb,1000000.0,364,shifted_exponential,bounded_identity,0.8,1000000.0,0.0,1.0,0.75,0.3780487804878049,42209.62195121951,0.33583915853658536,103
79,gaussian_calibrated_probability,50000.0,12,gaussian,bounded_identity,0.0,5.0,10.0,2.0,,0.29878048780487804,3163.1646341463415,0.2355171951219512,7
79,shifted_exponential_calibrated_probability,50000.0,264,shifted_exponential,bounded_identity,0.0,5.0,10.0,2.0,0.75,0.3048780487804878,2769.560975609756,0.2494868292682927,7
79,selected_ucb,50000.0,264,shifted_exponential,bounded_identity,0.0,5.0,10.0,2.0,0.75,0.3048780487804878,2769.560975609756,0.2494868292682927,7
79,gaussian_calibrated_probability,100000.0,9,gaussian,bounded_identity,0.0,5.0,10.0,1.2,,0.3048780487804878,3932.4146341463415,0.2655539024390244,11
