generator,reward_model,split_seed,price_per_million,fixed_n,fixed_net_utility,theory_net_utility,incumbent_net_utility,theory_gain_percent,incumbent_gain_percent,theory_minus_incumbent,theory_calls,incumbent_calls
gemma3_4b,rm_mistral_7b,71,0.5,107,0.4797316333177583,0.4150827641984067,0.4905706474755438,-13.476048821764975,2.2593911689384227,-0.07548788327713712,512.12,174.9975
gemma3_4b,rm_mistral_7b,71,1.0,68,0.4447488881111099,0.36927174847146316,0.45600078053494597,-16.97073149754353,2.5299427889800694,-0.08672903206348281,332.8125,105.1725
gemma3_4b,rm_mistral_7b,71,2.0,36,0.4068838293576426,0.31562422106936777,0.41764573245793457,-22.428910097594343,2.644957190184244,-0.1020215113885668,219.205,57.42
gemma3_4b,rm_mistral_7b,71,5.0,16,0.3556680254750322,0.2379210766599889,0.3610201883174968,-33.10585725488812,1.5048197923657234,-0.12309911165750792,112.915,25.175
gemma3_4b,rm_mistral_7b,71,10.0,8,0.3115203435625005,0.17616806809973581,0.3190433993136188,-43.44893624438652,2.4149484637458114,-0.142875331213883,60.9275,13.5675
gemma3_4b,rm_mistral_7b,72,0.1,545,0.5511937128220343,0.5385825456405449,0.5562022787317362,-2.287973699286602,0.9086761683217931,-0.01761973309119136,930.4675,533.2775
gemma3_4b,rm_mistral_7b,72,0.2,193,0.5227786609818424,0.48691092011632575,0.5357575676460475,-6.8609802852612,2.482677207946689,-0.04884664752972179,808.035,358.8975
gemma3_4b,rm_mistral_7b,72,0.5,131,0.484002468639481,0.4232215438635094,0.49447343402454536,-12.557978257182295,2.1634115657504793,-0.07125189016103595,538.0325,200.015
gemma3_4b,rm_mistral_7b,72,1.0,62,0.4486220959788618,0.377890281032192,0.46311844421657533,-15.766458134956096,3.231305004289523,-0.08522816318438331,364.165,118.815
gemma3_4b,rm_mistral_7b,72,2.0,36,0.4110331123754577,0.32351090065364985,0.425987346110421,-21.29322652766252,3.638206578671786,-0.10247644545677115,246.1225,65.0575
gemma3_4b,rm_mistral_7b,72,5.0,16,0.3600255240657828,0.24985911268399774,0.36861152973295896,-30.5996114213435,2.384832489156337,-0.11875241704896122,128.88,28.765
gemma3_4b,rm_mistral_7b,72,10.0,7,0.3110937645760438,0.19140841281980697,0.32546499217566605,-38.472436732810486,4.619580729690043,-0.13405657935585907,69.8225,15.675
gemma3_4b,rm_mistral_7b,73,0.1,520,0.5443427742621898,0.5312593991680604,0.547508222608503,-2.403517730507726,0.5815174731773844,-0.01624882344044254,938.6675,517.6375
gemma3_4b,rm_mistral_7b,73,0.2,254,0.5192318213191431,0.4773953458932636,0.5264743305548018,-8.057378940988473,1.3948508042628307,-0.04907898466153815,799.4825,344.5075
gemma3_4b,rm_mistral_7b,73,0.5,122,0.47881129637170416,0.4071097654829087,0.4875785100535444,-14.974903773601259,1.8310373519329428,-0.08046874457063569,526.495,185.1725
gemma3_4b,rm_mistral_7b,73,1.0,68,0.4463375442315002,0.3616723380939636,0.45208177685758133,-18.968873945684393,1.2869705227176247,-0.09040943876361773,336.2275,110.025
gemma3_4b,rm_mistral_7b,73,2.0,38,0.4072321448986069,0.314580525912349,0.41560384462339656,-22.751548507872926,2.055756115930897,-0.10102331871104758,213.455,60.14
gemma3_4b,rm_mistral_7b,73,5.0,17,0.3555180458635609,0.24195261950189978,0.3598829419471708,-31.94364609138427,1.2277565469306848,-0.11793032244527102,112.0275,26.52
gemma3_4b,rm_mistral_7b,73,10.0,8,0.3167030179652927,0.1826312343391962,0.3247195753110923,-42.33359836210634,2.531253853311281,-0.1420883409718961,62.8925,14.32
gemma3_4b,rm_mistral_7b,74,0.1,395,0.5501443194809642,0.537581880769566,0.5538691251955886,-2.283480582558819,0.6770597428214101,-0.016287244426022585,932.765,507.295
gemma3_4b,rm_mistral_7b,74,0.2,261,0.5236100882032058,0.4816159038086797,0.5289302161078525,-8.020125154316874,1.016047632486043,-0.04731431229917282,807.9675,323.1
gemma3_4b,rm_mistral_7b,74,0.5,102,0.479601287626045,0.40797694129671114,0.489363292019384,-14.934143876857316,2.035441656476672,-0.08138635072267286,531.5725,157.3025
gemma3_4b,rm_mistral_7b,74,1.0,62,0.4445758020279771,0.3569257869250751,0.45262929576255895,-19.715426413915843,1.811500692985323,-0.09570350883748385,337.9375,92.165
gemma3_4b,rm_mistral_7b,74,2.0,34,0.40577597106325314,0.30177908949465254,0.4149951542337712,-25.629137500699706,2.271988443860063,-0.11321606473911866,203.3075,49.7425
gemma3_4b,rm_mistral_7b,74,5.0,16,0.35132979798052494,0.22601420098525962,0.3519775446075849,-35.66893491972232,0.1843699654237328,-0.12596334362232528,100.8775,22.0025
gemma3_4b,rm_mistral_7b,74,10.0,8,0.3004838188365674,0.1631236637764089,0.30821964578492284,-45.71299565880066,2.5744570800209887,-0.14509598200851392,55.8375,12.0325
gemma3_4b,rm_mistral_7b,75,0.1,540,0.5515161673737853,0.5362250001721273,0.5546447583480343,-2.7725691659179525,0.5672709449564741,-0.01841975817590702,930.55,492.6975
gemma3_4b,rm_mistral_7b,75,0.2,238,0.5253630113909636,0.4772912481040249,0.5306082972236945,-9.150199432514823,0.9984117113314332,-0.05331704911966961,806.745,307.865
gemma3_4b,rm_mistral_7b,75,0.5,124,0.4839742336718066,0.4048914220813532,0.49049179000272,-16.340293777722298,1.3466742395491005,-0.08560036792136677,517.7975,154.075
gemma3_4b,rm_mistral_7b,75,1.0,65,0.4485811989699497,0.35326296430576165,0.45491495538458226,-21.248825158758688,1.4119531601360917,-0.10165199107882061,327.8275,91.9275
gemma3_4b,rm_mistral_7b,75,2.0,31,0.406430250562853,0.2996177962589015,0.416650541669121,-26.280635891651798,2.514648231059147,-0.11703274541021952,203.91,49.845
gemma3_4b,rm_mistral_7b,75,5.0,16,0.35196257828839494,0.22436538395056627,0.35394486324538016,-36.2530570603096,0.5632090112037273,-0.1295794792948139,99.51,21.8025
gemma3_4b,rm_mistral_7b,75,10.0,9,0.3005973483109626,0.1632168819309402,0.30817417804535474,-45.70248778039943,2.5205910088581587,-0.14495729611441455,55.5025,11.825
granite42_8b,fsfairx_llama3_rm,71,0.1,385,0.5686597683317353,0.5424271455004314,0.5771374277223312,-4.613061146959978,1.490813991548355,-0.03471028222189987,929.2275,439.2325
granite42_8b,fsfairx_llama3_rm,71,0.2,210,0.5340909360130923,0.47608718360112356,0.5446724253641432,-10.860276499908041,1.9812149275627227,-0.06858524176301961,788.08,309.4425
granite42_8b,fsfairx_llama3_rm,71,0.5,102,0.4790303715069282,0.3924132615516871,0.4929928636446776,-18.08175746409606,2.914740477482956,-0.1005796020929905,544.56,176.85
granite42_8b,fsfairx_llama3_rm,71,1.0,58,0.4335404512794335,0.32080580879931786,0.4476841599697439,-26.003258092162167,3.2623734760091008,-0.12687835117042606,392.6625,107.1175
granite42_8b,fsfairx_llama3_rm,71,2.0,22,0.37343699991067475,0.24403793158165,0.3941430868059173,-34.65084294271235,5.544733623126634,-0.15010515522426732,262.33,59.3225
granite42_8b,fsfairx_llama3_rm,71,5.0,12,0.3152790822394168,0.14464739098722448,0.3260182850293819,-54.12084114182302,3.40625287084855,-0.18137089404215742,138.215,26.9925
granite42_8b,fsfairx_llama3_rm,71,10.0,8,0.25693855718061853,0.05027806292131487,0.2757929163250012,-80.43187310109661,7.338080882554628,-0.22551485340368632,78.06,15.055
granite42_8b,fsfairx_llama3_rm,72,0.1,376,0.5598685668375812,0.5326231472586843,0.568181263452469,-4.866395649391916,1.4847585857234393,-0.03555811619378468,927.1625,418.065
granite42_8b,fsfairx_llama3_rm,72,0.2,174,0.5195798747369013,0.4673606567278409,0.534186340502345,-10.050277262086514,2.8112069915795,-0.06682568377450415,776.0075,275.145
granite42_8b,fsfairx_llama3_rm,72,0.5,98,0.47283078989617494,0.3817345260697014,0.485797237078563,-19.266144627865,2.742301783104107,-0.10406271100886161,519.955,151.8475
granite42_8b,fsfairx_llama3_rm,72,1.0,52,0.4283193450675261,0.3080074061482902,0.4431112682939282,-28.089307733758393,3.4534800719939707,-0.13510386214563802,365.29,93.2925
granite42_8b,fsfairx_llama3_rm,72,2.0,27,0.3775377714024675,0.23678346018454324,0.39451511162739267,-37.28217992468775,4.496858728030882,-0.15773165144284942,238.595,51.575
granite42_8b,fsfairx_llama3_rm,72,5.0,12,0.31993460148406694,0.13768849813467557,0.3219814126619187,-56.96354895782268,0.6397592409065213,-0.18429291452724314,122.2975,23.52
granite42_8b,fsfairx_llama3_rm,72,10.0,8,0.2631671848832442,0.04562218407210741,0.2753481171360724,-82.66418205128882,4.628590854985331,-0.22972593306396497,67.245,13.075
granite42_8b,fsfairx_llama3_rm,73,0.1,342,0.5533478106681502,0.5322534502387729,0.5659888474004391,-3.8121340724031256,2.2844649402380814,-0.03373539716166618,919.1875,455.9275
granite42_8b,fsfairx_llama3_rm,73,0.2,252,0.5221419078440112,0.4705724546519143,0.5348885490296119,-9.876520619659427,2.4412216284713146,-0.06431609437769764,777.975,325.815
granite42_8b,fsfairx_llama3_rm,73,0.5,90,0.4709212006707086,0.38716156028203813,0.4871304219532042,-17.78633883320096,3.4420241134630767,-0.09996886167116609,539.335,186.5675
granite42_8b,fsfairx_llama3_rm,73,1.0,61,0.4298445250448497,0.3212984504999677,0.44731844754829303,-25.252403653054877,4.065172750919673,-0.12601999704832534,373.9175,111.68
granite42_8b,fsfairx_llama3_rm,73,2.0,39,0.37716224525151404,0.24834527833804754,0.3986851380665793,-34.15425815687457,5.7065342796208345,-0.15033985972853176,246.565,61.6875
granite42_8b,fsfairx_llama3_rm,73,5.0,11,0.3185720999580305,0.14173419611152854,0.33006816295239794,-55.50953893005666,3.608622034347004,-0.1883339668408694,134.47,28.07
