generator,split_seed,price,method,selected_policy,fixed_n,profit,fixed_profit,delta_profit,relative_percent,quality,fixed_quality,cost,fixed_cost,samples,ci_low,ci_high,delta_test_oracle
qwen2.5_7b,42,2e-06,remaining_range,remaining_range_w0_a0.1_n4,15,0.3418619187380566,0.3189556349870217,0.022906283751034873,7.181652003723631,0.3893778637380565,0.3865228899870216,0.047515945000000004,0.06756725499999996,30.655,0.006926845409794143,0.043057223413983915,0.021117585824829976
qwen2.5_7b,42,2e-06,all_train_selected,remaining_range_w0_a0.1_n4,15,0.3418619187380566,0.3189556349870217,0.022906283751034873,7.181652003723631,0.3893778637380565,0.3865228899870216,0.047515945000000004,0.06756725499999996,30.655,0.006664625788525335,0.04381111091552149,0.021117585824829976
qwen2.5_7b,42,2e-06,original_sequential,spacing_w2_a4_n4,15,0.2526853991730374,0.3189556349870217,-0.06627023581398425,-20.777258196639412,0.47284409417303735,0.3865228899870216,0.22015869499999996,0.06756725499999996,89.28,-0.09971338429855577,-0.0334309353344267,-0.06805893374018923
qwen2.5_7b,42,1e-05,spacing,spacing_w2_a0.5_n4,4,0.2052188221615681,0.20259634690077394,0.0026224752607941926,1.294433636593955,0.30952424716156823,0.292316496900774,0.10430542500000001,0.08972015000000003,6.8825,-0.0026108912815463836,0.00865860397022543,0.0026224752607941493
qwen2.5_7b,42,1e-05,recent_gain,recent_gain_w4_a0.5_n8,4,0.1608879187235457,0.20259634690077394,-0.04170842817722825,-20.586959644270326,0.3459068687235458,0.292316496900774,0.18501895000000004,0.08972015000000003,8.46,-0.057947017350764005,-0.025331036314111488,-0.04170842817722825
qwen2.5_7b,42,1e-05,remaining_range,remaining_range_w0_a0.1_n4,4,0.2160651778027847,0.20259634690077394,0.013468830902010771,6.6481114334245275,0.3145576278027848,0.292316496900774,0.09849245000000004,0.08972015000000003,7.97,0.0059488868264577005,0.022612168754682575,0.013468830902010759
qwen2.5_7b,42,1e-05,all_train_selected,remaining_range_w0_a0.1_n4,4,0.2160651778027847,0.20259634690077394,0.013468830902010771,6.6481114334245275,0.3145576278027848,0.292316496900774,0.09849245000000004,0.08972015000000003,7.97,0.005963406649104015,0.022125055588702657,0.013468830902010759
qwen2.5_7b,42,1e-05,original_sequential,spacing_w2_a4_n4,4,0.06774352220249913,0.20259634690077394,-0.13485282469827484,-66.56231800878523,0.3844984972024992,0.292316496900774,0.316754975,0.08972015000000003,27.2,-0.16240092703150005,-0.11072574981785534,-0.1348528246982748
qwen2.5_7b,43,2e-08,spacing,spacing_w4_a4_n5,509,0.5953102830720338,0.5964208011092673,-0.0011105180372334867,-0.18619706676361109,0.6176583667220338,0.6189956425092672,0.022348083650000003,0.022574841400000004,506.74,-0.0025333080449680095,-0.0002069161591569627,-0.0011105180372334988
qwen2.5_7b,43,2e-08,recent_gain,recent_gain_w16_a0.5_n32,509,0.4548960945268976,0.5964208011092673,-0.14152470658236968,-23.729002462548525,0.4565308524768976,0.6189956425092672,0.00163475795,0.022574841400000004,36.8625,-0.16782756807483556,-0.11768731905043198,-0.1415247065823697
qwen2.5_7b,43,2e-08,remaining_range,remaining_range_w0_a0.3_n4,509,0.5959843244305297,0.5964208011092673,-0.0004364766787376606,-0.07318267202047098,0.6181808440805295,0.6189956425092672,0.022196519650000003,0.022574841400000004,505.2825,-0.0010654145974629797,-0.00011088664499999956,-0.0004364766787375851
qwen2.5_7b,43,2e-08,all_train_selected,remaining_range_w0_a0.3_n4,509,0.5959843244305297,0.5964208011092673,-0.0004364766787376606,-0.07318267202047098,0.6181808440805295,0.6189956425092672,0.022196519650000003,0.022574841400000004,505.2825,-0.001066669173712954,-0.00011142578000001465,-0.0004364766787375851
qwen2.5_7b,43,2e-08,original_sequential,spacing_w2_a4_n4,509,0.582699709472805,0.5964208011092673,-0.013721091636462285,-2.300572282345416,0.602914961022805,0.6189956425092672,0.020215251550000004,0.022574841400000004,468.4575,-0.01947618988518514,-0.008403647895993958,-0.01372109163646229
qwen2.5_7b,43,1e-07,spacing,spacing_w4_a1_n5,286,0.5318439855118933,0.5285964740591784,0.003247511452715165,0.6143649479492354,0.5754238957618935,0.5920224743091782,0.04357991024999999,0.06342600024999999,296.78,-0.004406784455628613,0.009999529054058112,0.0012145410729789141
qwen2.5_7b,43,1e-07,recent_gain,recent_gain_w16_a0.5_n32,286,0.44813921275686946,0.5285964740591784,-0.08045726130230872,-15.220922811774415,0.4562576130068695,0.5920224743091782,0.008118400249999998,0.06342600024999999,36.695,-0.10815486116950694,-0.05550792284497025,-0.08249023168204489
qwen2.5_7b,43,1e-07,remaining_range,remaining_range_w0_a0.1_n4,286,0.5423624885906292,0.5285964740591784,0.013766014531450932,2.6042577291027813,0.579274532340629,0.5920224743091782,0.036912043750000005,0.06342600024999999,276.55,0.0019944544773917647,0.023143370906124464,0.011733044151714833
qwen2.5_7b,43,1e-07,all_train_selected,remaining_range_w0_a0.1_n4,286,0.5423624885906292,0.5285964740591784,0.013766014531450932,2.6042577291027813,0.579274532340629,0.5920224743091782,0.036912043750000005,0.06342600024999999,276.55,0.001769732291097064,0.022826833775585892,0.011733044151714833
qwen2.5_7b,43,1e-07,original_sequential,spacing_w2_a4_n4,286,0.5131891631841323,0.5285964740591784,-0.015407310875045885,-2.9147585409964307,0.5886243339341322,0.5920224743091782,0.07543517075,0.06342600024999999,394.5225,-0.024613984841388124,-0.007309771721859137,-0.01744028125478203
qwen2.5_7b,43,2e-07,spacing,spacing_w4_a1_n5,205,0.49770846752253883,0.48321906290782557,0.014489404614713389,2.9985167653613978,0.5537593615225387,0.5741304209078255,0.056050894000000004,0.090911358,218.635,0.0023143367717118044,0.026303246740747167,0.007688342787198377
qwen2.5_7b,43,2e-07,recent_gain,recent_gain_w16_a1_n32,205,0.4400208125068696,0.48321906290782557,-0.04319825040095586,-8.93968258226517,0.4562576130068695,0.5741304209078255,0.016236800499999995,0.090911358,36.695,-0.07231001521351398,-0.017737385621804994,-0.04999931222847087
qwen2.5_7b,43,2e-07,remaining_range,remaining_range_w0_a0.1_n4,205,0.5098854676616945,0.48321906290782557,0.026666404753869163,5.518491880970308,0.5527894076616947,0.5741304209078255,0.04290394,0.090911358,190.4475,0.007750135679630671,0.040853502968761043,0.019865342926354057
qwen2.5_7b,43,2e-07,all_train_selected,remaining_range_w0_a0.1_n4,205,0.5098854676616945,0.48321906290782557,0.026666404753869163,5.518491880970308,0.5527894076616947,0.5741304209078255,0.04290394,0.090911358,190.4475,0.00805099988791584,0.04058318937432747,0.019865342926354057
qwen2.5_7b,43,2e-07,original_sequential,spacing_w2_a4_n4,205,0.46633693276075683,0.48321906290782557,-0.01688213014706853,-3.4936804946142637,0.5713682752607567,0.5741304209078255,0.10503134250000003,0.090911358,321.09,-0.029992615893071645,-0.0045998113215853335,-0.02368319197458363
qwen2.5_7b,43,1e-06,spacing,spacing_w4_a1_n5,40,0.3965802010542905,0.37329750486235874,0.023282696191931594,6.237035042737918,0.4712777210542904,0.4620602398623588,0.07469752000000002,0.08876273499999998,74.375,0.008760054214191263,0.04012116562038623,0.019552483246896568
qwen2.5_7b,43,1e-06,recent_gain,recent_gain_w16_a0.5_n32,40,0.37783540692119616,0.37329750486235874,0.004537902058837335,1.2156261426152684,0.4522572044211961,0.4620602398623588,0.0744217975,0.08876273499999998,34.655,-0.0009830675741350093,0.01001563014196446,0.0008076891138022457
qwen2.5_7b,43,1e-06,remaining_range,remaining_range_w0_a0.3_n4,40,0.38686831068096894,0.37329750486235874,0.01357080581861001,3.6353861576475848,0.5226548006809686,0.4620602398623588,0.13578648999999998,0.08876273499999998,135.5775,-0.004283352554307786,0.035311224633053334,0.009840592873575027
qwen2.5_7b,43,1e-06,all_train_selected,remaining_range_w0_a0.3_n4,40,0.38686831068096894,0.37329750486235874,0.01357080581861001,3.6353861576475848,0.5226548006809686,0.4620602398623588,0.13578648999999998,0.08876273499999998,135.5775,-0.00530198394282861,0.03520939521492653,0.009840592873575027
