generator,split,divisor,adaptive_score,adaptive_chars,fixed_chars,cost_mismatch,fixed_n_low,fixed_n_high,fixed_high_weight
mistral_7b,39,100000.0,0.5616451371116409,8563.7125,8563.7125,0.0,4,5,0.570753118015274
mistral_7b,39,500000.0,0.5949705635668332,24548.335,24548.335,0.0,13,14,0.044502136805802874
mistral_7b,39,1000000.0,0.5700074926423447,43985.4225,43985.4225,0.0,23,24,0.4994005886124146
mistral_7b,39,5000000.0,0.567850806838952,192364.2475,192364.2475,0.0,102,103,0.8596772644192127
mistral_7b,39,10000000.0,0.59125,412568.5125,412568.5125,0.0,221,222,0.2724662996948656
mistral_7b,39,50000000.0,0.50625,1734005.945,1734005.945,0.0,929,930,0.05451238535382931
llama3.2_3b,30,100000.0,0.5536883032050527,12495.905,12495.905,0.0,6,7,0.6378593162411481
llama3.2_3b,30,500000.0,0.5297114525835882,42414.57,42414.57,0.0,22,23,0.7051396555215718
llama3.2_3b,30,1000000.0,0.5507938746320419,68103.86,68103.86000000002,-1.4551915228366852e-11,36,37,0.34122507359163656
llama3.2_3b,30,5000000.0,0.65375,233839.445,233839.445,0.0,124,125,0.37509512658177263
llama3.2_3b,30,10000000.0,0.6375,431438.1475,431438.1475,0.0,229,230,0.1757435455274555
llama3.2_3b,30,50000000.0,0.53875,1674894.4075,1674894.4075,0.0,887,888,0.21644282412240778
llama3.2_3b,31,100000.0,0.5710520437420817,11421.1075,11421.1075,0.0,6,7,0.2753217310128691
llama3.2_3b,31,500000.0,0.5426444530457339,39762.8875,39762.8875,0.0,21,22,0.9768875126825523
llama3.2_3b,31,1000000.0,0.583198175356662,66441.6125,66441.6125,0.0,36,37,0.7402432857784063
llama3.2_3b,31,5000000.0,0.60125,257573.555,257573.55499999996,2.9103830456733704e-11,142,143,0.6103188519010673
llama3.2_3b,31,10000000.0,0.6162046399030696,442315.3025,442315.30250000005,-5.820766091346741e-11,245,246,0.01814403877213382
llama3.2_3b,31,50000000.0,0.5175,1599759.8225,1599759.8225,0.0,886,887,0.5099989921048561
llama3.2_3b,32,100000.0,0.5676373181533542,11207.955,11207.955,0.0,5,6,0.8477831658265453
llama3.2_3b,32,500000.0,0.598926091384737,34909.76,34909.76,0.0,18,19,0.46230158189473197
llama3.2_3b,32,1000000.0,0.5964551291211595,63212.1475,63212.1475,0.0,33,34,0.417948351536186
llama3.2_3b,32,5000000.0,0.62,254110.5125,254110.5125,0.0,135,136,0.26196967496875945
llama3.2_3b,32,10000000.0,0.6078656073884592,470504.79,470504.79,0.0,250,251,0.35375704461630453
llama3.2_3b,32,50000000.0,0.535,1681531.825,1681531.8249999997,2.3283064365386963e-10,893,894,0.5871583770050243
llama3.2_3b,33,100000.0,0.5523948362829612,10844.1075,10844.1075,0.0,5,6,0.32200595334686877
llama3.2_3b,33,500000.0,0.5724071123826331,34862.655,34862.655,0.0,17,18,0.10743100938935303
llama3.2_3b,33,1000000.0,0.6026442897695579,60041.7675,60041.7675,0.0,29,30,0.48076136405895586
llama3.2_3b,33,5000000.0,0.6267368444871729,252889.7375,252889.7375,0.0,124,125,0.30526220513083496
llama3.2_3b,33,10000000.0,0.5965410555115213,462851.88,462851.88,0.0,227,228,0.7671555907829705
llama3.2_3b,33,50000000.0,0.512268886184544,1904128.8775,1904128.8775,0.0,937,938,0.18489105236476933
llama3.2_3b,34,100000.0,0.5394316886348903,11538.49,11538.49,0.0,6,7,0.8311737662898908
llama3.2_3b,34,500000.0,0.5522845330568603,37773.5275,37773.5275,0.0,22,23,0.31033907921596826
llama3.2_3b,34,1000000.0,0.5684203368869257,62244.345,62244.345,0.0,36,37,0.6527460980918879
llama3.2_3b,34,5000000.0,0.6533444622624148,249811.065,249811.06499999997,2.9103830456733704e-11,147,148,0.3311075475170177
llama3.2_3b,34,10000000.0,0.63875,434006.475,434006.475,0.0,256,257,0.13761298413781622
llama3.2_3b,34,50000000.0,0.4975,1614816.795,1614816.795,0.0,954,955,0.05967712161887028
llama3.2_3b,35,100000.0,0.6037599881369569,11071.5575,11071.5575,0.0,5,6,0.8283431282981308
llama3.2_3b,35,500000.0,0.5281855575714587,34255.385,34255.385,0.0,18,19,0.032253853059501396
llama3.2_3b,35,1000000.0,0.5515251064375681,59917.3275,59917.3275,0.0,31,32,0.4449787124863723
llama3.2_3b,35,5000000.0,0.60625,237481.1075,237481.10750000004,-2.9103830456733704e-11,125,126,0.27238976871517867
llama3.2_3b,35,10000000.0,0.6157743706308559,424743.1425,424743.1425,0.0,224,225,0.38050349531525235
llama3.2_3b,35,50000000.0,0.52875,1701172.9725,1701172.9725,0.0,900,901,0.4323403830913272
llama3.2_3b,36,100000.0,0.6040008545036375,11589.335,11589.335,0.0,5,6,0.7513328755970264
llama3.2_3b,36,500000.0,0.5612424592615072,38620.73,38620.73,0.0,19,20,0.11800191710554302
llama3.2_3b,36,1000000.0,0.5692388187967196,62529.4425,62529.44249999999,7.275957614183426e-12,30,31,0.9565494402915938
llama3.2_3b,36,5000000.0,0.6452969922868418,254080.235,254080.235,0.0,125,126,0.7624061705265252
llama3.2_3b,36,10000000.0,0.6175,439484.145,439484.145,0.0,217,218,0.2980761256639299
llama3.2_3b,36,50000000.0,0.5059999265060017,1919947.005,1919947.0049999997,2.3283064365386963e-10,949,950,0.10002939759930668
llama3.2_3b,37,100000.0,0.5184739614094266,10997.405,10997.405,0.0,5,6,0.27772426432533537
llama3.2_3b,37,500000.0,0.5557977866463248,35424.9925,35424.9925,0.0,17,18,0.04019674254889653
llama3.2_3b,37,1000000.0,0.5544363017767937,62020.66,62020.66,0.0,29,30,0.8627396446412746
llama3.2_3b,37,5000000.0,0.585425857705611,258276.2675,258276.2675,0.0,124,125,0.16482845887780898
llama3.2_3b,37,10000000.0,0.605,449983.4275,449983.4275,0.0,216,217,0.29776180730082724
llama3.2_3b,37,50000000.0,0.5175,1906241.2325,1906241.2325,0.0,916,917,0.8399883046164193
llama3.2_3b,38,100000.0,0.5666297774883239,9579.16,9579.16,0.0,5,6,0.34629207176217414
llama3.2_3b,38,500000.0,0.6045113564833503,28443.385,28443.385,0.0,15,16,0.7825762344433167
llama3.2_3b,38,1000000.0,0.5931847905181066,58041.515,58041.515,0.0,32,33,0.3835741761683129
llama3.2_3b,38,5000000.0,0.6525,238596.25,238596.25,0.0,133,134,0.768893736932999
llama3.2_3b,38,10000000.0,0.6157282979144959,446618.4275,446618.4275,0.0,250,251,0.41736166840328026
llama3.2_3b,38,50000000.0,0.52,1618400.2825,1618400.2825,0.0,908,909,0.7115510947621423
llama3.2_3b,39,100000.0,0.5293723128373364,8903.375,8903.375,0.0,5,6,0.1400859892052369
llama3.2_3b,39,500000.0,0.5446096158752536,26904.425,26904.425,0.0,15,16,0.42082048665314575
llama3.2_3b,39,1000000.0,0.526581910777914,49404.64,49404.64,0.0,28,29,0.34689427553375124
llama3.2_3b,39,5000000.0,0.607983497550009,222591.4925,222591.4925,0.0,127,128,0.3066009799964061
llama3.2_3b,39,10000000.0,0.605,428747.74,428747.74,0.0,245,246,0.2618912480950331
llama3.2_3b,39,50000000.0,0.5275,1537735.1325,1537735.1325,0.0,881,882,0.4801775983617535
llama3.1_8b,30,100000.0,0.5716022304015016,12278.86,12278.86,0.0,6,7,0.05985130656655997
llama3.1_8b,30,500000.0,0.5766051039237756,42224.26,42224.26,0.0,20,21,0.8165595515685049
llama3.1_8b,30,1000000.0,0.6003569962936405,68788.6775,68788.67750000002,-1.4551915228366852e-11,33,34,0.9048009883625543
