generator,split,target_quality,adaptive_divisor_low,adaptive_divisor_high,adaptive_high_weight,target_reached_train,fixed_quality,adaptive_quality,quality_gap,fixed_chars,adaptive_chars,direct_char_saving_pct,matched_fixed_chars,matched_char_saving_pct
qwen2.5_7b,36,0.35,200000.0,500000.0,0.019009963257150507,True,0.36587867797109574,0.37720713367727887,0.011328455706183127,21526.00026937678,16215.3254571949,24.67097809961903,26753.61881933247,39.39016038653612
qwen2.5_7b,36,0.4,200000.0,500000.0,0.8690801900164274,True,0.40142704075035895,0.4217309555594342,0.02030391480907523,37564.452867233194,31445.65117843882,16.288808226278455,48620.50595891422,35.3243028671661
qwen2.5_7b,36,0.45,500000.0,1000000.0,0.9036125372730417,True,0.4320895772981039,0.4752488663895879,0.04315928909148403,57535.68589222262,59956.43622534685,-4.207389371630761,102611.7717132212,41.56963160824007
qwen2.5_7b,36,0.5,1000000.0,2000000.0,0.930248101168715,True,0.4937508937202243,0.520893402087185,0.02714250836696075,127753.93105845488,111162.56109398397,12.98697412049058,197194.12903095438,43.62785462211489
qwen2.5_7b,36,0.55,2000000.0,5000000.0,0.793879939643787,True,0.5351976107345363,0.5622080956832088,0.02701048494867253,241674.3912754143,225735.06965980754,6.595370544428995,321433.91580596304,29.772479331000376
qwen2.5_7b,36,0.6,10000000.0,20000000.0,0.17616929354774616,True,0.6005845732149363,0.6076870710512554,0.0071024978363191105,591623.0271084086,537510.7722438608,9.146407828144318,682807.6737373899,21.27933048822336
qwen2.5_7b,37,0.3,50000.0,50000.0,0.0,False,0.3140540999721632,0.3151400598420031,0.001085959869839892,11678.522227480284,8472.9825,27.44816223355255,11840.957116412508,28.443432260591734
qwen2.5_7b,37,0.35,100000.0,200000.0,0.7823612664697502,True,0.36545340494656947,0.3640312087195338,-0.0014221962270356547,22577.3350054015,15205.946217677722,32.64950795105009,21618.143949970963,29.66118528552889
qwen2.5_7b,37,0.4,200000.0,500000.0,0.7464983584056525,True,0.40827807133460603,0.41071725165436257,0.00243918031975654,40454.722235636655,29998.236744147158,25.84737927647506,43325.97004818353,30.761534685119294
qwen2.5_7b,37,0.45,500000.0,1000000.0,0.6187874985918016,True,0.4527864326220151,0.44846242024798344,-0.004324012374031683,76686.04709219192,54108.349037648055,29.441728855056212,73801.21932663105,26.683665214020188
qwen2.5_7b,37,0.5,1000000.0,2000000.0,0.6622473339249835,True,0.5081132195567116,0.4950234310057992,-0.013089788550912418,167175.63113136805,102764.51304949274,38.52901146295688,137070.164733664,25.02780364408936
qwen2.5_7b,37,0.55,2000000.0,5000000.0,0.6449680957297799,True,0.5463624568884626,0.5407472415151027,-0.005615215373359961,295871.41625834897,212327.94661195247,28.236411175808893,260425.3187675072,18.468777299834397
qwen2.5_7b,37,0.6,10000000.0,20000000.0,0.1453946537664878,True,0.5908915033978198,0.5934051137085566,0.0025136103107368246,583928.0031305585,515614.1072307476,11.699027197456886,635763.9622580201,18.898500412093277
qwen2.5_7b,38,0.3,50000.0,50000.0,0.0,False,0.27287221588861454,0.2904783302904946,0.017606114401880035,9351.778412773887,7865.265,15.895515774234036,11762.00575083338,33.12990006451307
qwen2.5_7b,38,0.35,100000.0,200000.0,0.48343160029274046,True,0.3222770271387993,0.333026562414921,0.010749535276121713,17190.25552743325,12241.222790224137,28.789756669475608,19777.181780865147,38.10431169688805
qwen2.5_7b,38,0.4,200000.0,500000.0,0.7923932682351229,True,0.39462686168672434,0.39262005424431806,-0.0020068074424062776,37403.80593204508,25770.98082304583,31.100645560330594,36745.631445073,29.86654519308497
qwen2.5_7b,38,0.45,500000.0,1000000.0,0.9250817227000135,True,0.44380852796008435,0.4610851205425574,0.01727659258247305,64447.68053038803,50453.81323706096,21.71353131433296,79150.325378768,36.25570963149174
qwen2.5_7b,38,0.5,1000000.0,2000000.0,0.940590105356633,True,0.4989343752954158,0.5136561990000879,0.014721823704672066,128581.36112956482,94290.55248695653,26.668568711179848,158509.71146804412,40.514337188755974
qwen2.5_7b,38,0.55,2000000.0,5000000.0,0.7625088059528331,True,0.5689290087243253,0.5573534361381369,-0.011575572586188354,297221.7046517454,206750.5962284501,30.43893060545503,262099.50558580403,21.117517651796657
qwen2.5_7b,38,0.6,10000000.0,20000000.0,0.3790359247132002,True,0.6259500915833505,0.6122823276741477,-0.013667763909202768,716135.8394182224,601104.1503936774,16.06283091738503,573006.9527335597,-4.90346539881909
qwen2.5_7b,39,0.3,50000.0,50000.0,0.0,False,0.2389315528117753,0.26766749543060664,0.028735942618831334,7359.323988465589,8461.5925,-14.977850047939443,11160.698834179799,24.184026236007252
qwen2.5_7b,39,0.35,100000.0,200000.0,0.3741989796587033,True,0.2860592715980247,0.30131075283206654,0.015251481234041853,13940.24454065797,11768.66180101058,15.577795162156411,16269.489426060565,27.66422170471148
qwen2.5_7b,39,0.4,200000.0,500000.0,0.7113257931484679,True,0.36135697256348115,0.3710707209385062,0.009713748375025033,30800.356868834617,22610.951299946504,26.588671046128606,34012.69188839255,33.522017680515006
qwen2.5_7b,39,0.45,500000.0,1000000.0,0.9159707091098179,True,0.4262714462144362,0.4486537885370008,0.022382342322564586,63639.24845671896,45648.74236543439,28.269513747510565,78546.32192453743,41.88302997906007
qwen2.5_7b,39,0.5,2000000.0,5000000.0,0.16196803159075682,True,0.4933124001019269,0.5205795166012157,0.027267116499288813,128963.82191105232,115178.78527199123,10.689072667657731,167423.32189350846,31.205053173385224
qwen2.5_7b,39,0.55,5000000.0,10000000.0,0.16306888755400134,True,0.5670167297556205,0.5791750686463871,0.012158338890766673,295118.622219836,257764.1597524105,12.657439976661282,342421.0782176559,24.72304535278469
qwen2.5_7b,39,0.6,10000000.0,20000000.0,0.7700422081596437,True,0.6431492319995868,0.6359428665383662,-0.007206365461220665,855721.6354312492,781029.1397822958,8.728597309721094,790692.6688600457,1.2221599438479678
mistral_7b,30,0.3,50000.0,75000.0,0.6821596862746382,True,0.3197360938489414,0.3187811095900207,-0.0009549842589207103,10915.259283907571,8889.812878873945,18.556099789766364,10774.430983404889,17.491578974645538
mistral_7b,30,0.35,100000.0,200000.0,0.804318851063727,True,0.3632507145556288,0.3706719312126229,0.0074212166569940785,18506.176768374167,15883.1440350135,14.173822968357554,20440.41935494294,22.29541009307811
mistral_7b,30,0.4,200000.0,500000.0,0.99375748374084,True,0.4206123841956321,0.42562219345666763,0.005009809261035503,37511.52919735262,34295.252158109,8.574102704057745,39542.04000198294,13.268885074242071
