split,grid,grid_config_id,divisor,train_utility,test_utility,test_accuracy,test_chars,test_opens,family,calibration,confidence_scale,reward_prior_strength,cost_prior_strength,cap_factor,tail_quantile,tail_decay
63,exp_tail_current,163,200000.0,0.21764676829268292,0.22852755952380954,0.25,4294.488095238095,6.529761904761905,shifted_exponential,bounded_identity,0.0,1000000.0,10.0,1.2,0.75,0.0
63,exp_tail_current,163,300000.0,0.2391944918699187,0.23943611111111113,0.25595238095238093,4954.880952380952,7.333333333333333,shifted_exponential,bounded_identity,0.0,1000000.0,10.0,1.2,0.75,0.0
63,exp_tail_current,163,400000.0,0.2657119054878049,0.2539187202380952,0.26785714285714285,5575.369047619048,8.345238095238095,shifted_exponential,bounded_identity,0.0,1000000.0,10.0,1.2,0.75,0.0
63,exp_tail_current,163,500000.0,0.2731125975609756,0.2557793928571429,0.26785714285714285,6038.875,9.095238095238095,shifted_exponential,bounded_identity,0.0,1000000.0,10.0,1.2,0.75,0.0
63,exp_tail_current,163,600000.0,0.26801460365853663,0.2569783630952381,0.26785714285714285,6527.267857142857,9.738095238095237,shifted_exponential,bounded_identity,0.0,1000000.0,10.0,1.2,0.75,0.0
63,exp_tail_current,163,700000.0,0.26886175087108016,0.2577270663265306,0.26785714285714285,7091.053571428572,10.452380952380953,shifted_exponential,bounded_identity,0.0,1000000.0,10.0,1.2,0.75,0.0
63,exp_tail_current,163,800000.0,0.2697272637195122,0.25852796130952377,0.26785714285714285,7463.3452380952385,10.994047619047619,shifted_exponential,bounded_identity,0.0,1000000.0,10.0,1.2,0.75,0.0
63,exp_tail_current,163,900000.0,0.27042861111111116,0.2593067195767195,0.26785714285714285,7695.380952380952,11.494047619047619,shifted_exponential,bounded_identity,0.0,1000000.0,10.0,1.2,0.75,0.0
63,exp_tail_current,163,1000000.0,0.27087448780487805,0.25980721428571424,0.26785714285714285,8049.928571428572,12.160714285714286,shifted_exponential,bounded_identity,0.0,1000000.0,10.0,1.2,0.75,0.0
63,exp_tail_current,164,100000.0,0.19578225609756097,0.20248077380952378,0.23809523809523808,3561.4464285714284,5.303571428571429,shifted_exponential,bounded_identity,0.0,1000000.0,10.0,1.3,0.75,0.0
63,exp_tail_current,164,200000.0,0.22223731707317074,0.2276758333333333,0.25,4464.833333333333,6.833333333333333,shifted_exponential,bounded_identity,0.0,1000000.0,10.0,1.3,0.75,0.0
63,exp_tail_current,164,300000.0,0.2564742479674797,0.23903511904761904,0.25595238095238093,5075.178571428572,7.571428571428571,shifted_exponential,bounded_identity,0.0,1000000.0,10.0,1.3,0.75,0.0
63,exp_tail_current,164,400000.0,0.27073178353658534,0.253401056547619,0.26785714285714285,5782.434523809524,8.68452380952381,shifted_exponential,bounded_identity,0.0,1000000.0,10.0,1.3,0.75,0.0
63,exp_tail_current,164,500000.0,0.26615614634146345,0.2551695119047619,0.26785714285714285,6343.815476190476,9.410714285714286,shifted_exponential,bounded_identity,0.0,1000000.0,10.0,1.3,0.75,0.0
63,exp_tail_current,164,600000.0,0.26733047764227647,0.2564648412698413,0.26785714285714285,6835.380952380952,10.136904761904763,shifted_exponential,bounded_identity,0.0,1000000.0,10.0,1.3,0.75,0.0
63,exp_tail_current,164,700000.0,0.2684357055749129,0.25738809523809525,0.26785714285714285,7328.333333333333,10.80952380952381,shifted_exponential,bounded_identity,0.0,1000000.0,10.0,1.3,0.75,0.0
63,exp_tail_current,164,800000.0,0.2692579573170732,0.25828186755952376,0.26785714285714285,7660.2202380952385,11.410714285714286,shifted_exponential,bounded_identity,0.0,1000000.0,10.0,1.3,0.75,0.0
63,exp_tail_current,164,900000.0,0.2700643157181572,0.2590990013227513,0.26785714285714285,7882.327380952381,11.910714285714286,shifted_exponential,bounded_identity,0.0,1000000.0,10.0,1.3,0.75,0.0
63,exp_tail_current,164,1000000.0,0.2705298841463415,0.2595542380952381,0.26785714285714285,8302.904761904761,12.577380952380953,shifted_exponential,bounded_identity,0.0,1000000.0,10.0,1.3,0.75,0.0
63,exp_tail_current,165,100000.0,0.2002687804878049,0.20091458333333334,0.23809523809523808,3718.065476190476,5.517857142857143,shifted_exponential,bounded_identity,0.0,1000000.0,10.0,1.5,0.75,0.0
63,exp_tail_current,165,200000.0,0.2202345731707317,0.23242053571428573,0.25595238095238093,4706.369047619048,7.095238095238095,shifted_exponential,bounded_identity,0.0,1000000.0,10.0,1.5,0.75,0.0
63,exp_tail_current,165,300000.0,0.2610200203252033,0.24417958333333334,0.2619047619047619,5317.553571428572,7.970238095238095,shifted_exponential,bounded_identity,0.0,1000000.0,10.0,1.5,0.75,0.0
63,exp_tail_current,165,400000.0,0.26971272865853657,0.25259662202380956,0.26785714285714285,6104.208333333333,9.130952380952381,shifted_exponential,bounded_identity,0.0,1000000.0,10.0,1.5,0.75,0.0
63,exp_tail_current,165,500000.0,0.2648594024390244,0.2543633214285714,0.26785714285714285,6746.910714285715,9.988095238095237,shifted_exponential,bounded_identity,0.0,1000000.0,10.0,1.5,0.75,0.0
63,exp_tail_current,165,600000.0,0.2665518800813008,0.2558519742063492,0.26785714285714285,7203.101190476191,10.660714285714286,shifted_exponential,bounded_identity,0.0,1000000.0,10.0,1.5,0.75,0.0
63,exp_tail_current,165,700000.0,0.267555818815331,0.25687826530612246,0.26785714285714285,7685.214285714285,11.476190476190476,shifted_exponential,bounded_identity,0.0,1000000.0,10.0,1.5,0.75,0.0
63,exp_tail_current,165,800000.0,0.2684740853658537,0.25779473214285714,0.26785714285714285,8049.928571428572,12.160714285714286,shifted_exponential,bounded_identity,0.0,1000000.0,10.0,1.5,0.75,0.0
63,exp_tail_current,165,900000.0,0.26929874661246617,0.25853650793650795,0.26785714285714285,8388.57142857143,12.744047619047619,shifted_exponential,bounded_identity,0.0,1000000.0,10.0,1.5,0.75,0.0
63,exp_tail_current,165,1000000.0,0.26989448780487807,0.2589947857142857,0.26785714285714285,8862.357142857143,13.494047619047619,shifted_exponential,bounded_identity,0.0,1000000.0,10.0,1.5,0.75,0.0
63,exp_tail_current,166,100000.0,0.19968024390243902,0.20891309523809523,0.25,4108.690476190476,6.226190476190476,shifted_exponential,bounded_identity,0.0,1000000.0,10.0,2.0,0.75,0.0
63,exp_tail_current,166,200000.0,0.25224579268292685,0.23551913690476192,0.2619047619047619,5277.125,7.875,shifted_exponential,bounded_identity,0.0,1000000.0,10.0,2.0,0.75,0.0
63,exp_tail_current,166,300000.0,0.2572957723577236,0.24209734126984128,0.2619047619047619,5942.226190476191,8.80952380952381,shifted_exponential,bounded_identity,0.0,1000000.0,10.0,2.0,0.75,0.0
63,exp_tail_current,166,400000.0,0.26064443597560977,0.25065927083333334,0.26785714285714285,6879.148809523809,10.244047619047619,shifted_exponential,bounded_identity,0.0,1000000.0,10.0,2.0,0.75,0.0
63,exp_tail_current,166,500000.0,0.2626255609756098,0.2529817142857143,0.26785714285714285,7437.714285714285,11.172619047619047,shifted_exponential,bounded_identity,0.0,1000000.0,10.0,2.0,0.75,0.0
63,exp_tail_current,166,600000.0,0.264469512195122,0.25460151785714286,0.26785714285714285,7953.375,12.077380952380953,shifted_exponential,bounded_identity,0.0,1000000.0,10.0,2.0,0.75,0.0
63,exp_tail_current,166,700000.0,0.2656899912891986,0.2555439285714286,0.26785714285714285,8619.25,13.142857142857142,shifted_exponential,bounded_identity,0.0,1000000.0,10.0,2.0,0.75,0.0
63,exp_tail_current,166,800000.0,0.2668674771341464,0.2623199553571428,0.27380952380952384,9191.654761904761,13.994047619047619,shifted_exponential,bounded_identity,0.0,1000000.0,10.0,2.0,0.75,0.0
63,exp_tail_current,166,900000.0,0.28001189701897017,0.262741421957672,0.27380952380952384,9961.291666666666,14.827380952380953,shifted_exponential,bounded_identity,0.0,1000000.0,10.0,2.0,0.75,0.0
63,exp_tail_current,166,1000000.0,0.28687111585365854,0.2632541488095238,0.27380952380952384,10555.375,15.827380952380953,shifted_exponential,bounded_identity,0.0,1000000.0,10.0,2.0,0.75,0.0
63,exp_tail_current,167,100000.0,0.1668760975609756,0.15468755952380953,0.2857142857142857,13102.672619047618,19.226190476190474,shifted_exponential,bounded_identity,0.0,1000000.0,10.0,,0.75,0.0
63,exp_tail_current,167,200000.0,0.2320830182926829,0.21455622023809523,0.2857142857142857,14231.613095238095,20.547619047619047,shifted_exponential,bounded_identity,0.0,1000000.0,10.0,,0.75,0.0
63,exp_tail_current,167,300000.0,0.24253313008130079,0.23279015873015874,0.2857142857142857,15877.238095238095,24.047619047619047,shifted_exponential,bounded_identity,0.0,1000000.0,10.0,,0.75,0.0
63,exp_tail_current,167,400000.0,0.24032908536585365,0.24698044642857142,0.2916666666666667,17874.488095238095,28.232142857142858,shifted_exponential,bounded_identity,0.0,1000000.0,10.0,,0.75,0.0
63,exp_tail_current,167,500000.0,0.2559165487804878,0.25022925,0.2916666666666667,20718.708333333332,32.208333333333336,shifted_exponential,bounded_identity,0.0,1000000.0,10.0,,0.75,0.0
63,exp_tail_current,167,600000.0,0.2640767987804878,0.25699828373015876,0.2916666666666667,20801.029761904763,32.279761904761905,shifted_exponential,bounded_identity,0.0,1000000.0,10.0,,0.75,0.0
