reward_model,model,price_per_million,profit_gain,ci_low,ci_high,confidence,bootstrap_repetitions
skywork_llama31_8b,gemma3_4b,1.0,-0.21757975581569894,-0.2533378643704557,-0.183580852614293,0.95,1000
skywork_llama31_8b,gemma3_4b,2.0,-0.17489358554096784,-0.20830125876286004,-0.13816317198359665,0.95,1000
skywork_llama31_8b,gemma3_4b,5.0,-0.05598820121297717,-0.08353865677356431,-0.023359548051417624,0.95,1000
skywork_llama31_8b,gemma3_4b,10.0,0.04243488828482274,0.024323376567723036,0.059834072985341435,0.95,1000
skywork_llama31_8b,gemma3_4b,20.0,0.030510743064191374,0.015499760358530117,0.04801240942919531,0.95,1000
skywork_llama31_8b,granite42_8b,0.1,-0.17701777148843637,-0.2026880086159956,-0.1546773852181249,0.95,1000
skywork_llama31_8b,granite42_8b,0.2,-0.2199382418519314,-0.2505141792935946,-0.19428325465995105,0.95,1000
skywork_llama31_8b,granite42_8b,0.5,-0.2372838028389503,-0.27180822234752205,-0.20724068472646784,0.95,1000
skywork_llama31_8b,granite42_8b,1.0,-0.2118640045216587,-0.24225127288976975,-0.18309141683115443,0.95,1000
skywork_llama31_8b,granite42_8b,2.0,-0.14194853563550372,-0.16905340271939812,-0.1116409804929749,0.95,1000
skywork_llama31_8b,granite42_8b,5.0,-0.001745070107924796,-0.026157959640877075,0.02375866076272029,0.95,1000
skywork_llama31_8b,granite42_8b,10.0,0.05530474758987416,0.030141682069995124,0.08353186675485605,0.95,1000
skywork_llama31_8b,granite42_8b,20.0,0.004155019474137993,-0.020712835519474986,0.029521273937819448,0.95,1000
skywork_llama31_8b,ministral3_8b,0.1,-0.16301590776519145,-0.1922906094133003,-0.13733375027969077,0.95,1000
skywork_llama31_8b,ministral3_8b,0.2,-0.218602414319177,-0.2537332288738829,-0.1866364201513235,0.95,1000
skywork_llama31_8b,ministral3_8b,0.5,-0.24746602301791026,-0.2817384770729023,-0.2135736030326253,0.95,1000
skywork_llama31_8b,ministral3_8b,1.0,-0.22583650998872234,-0.25969387122279947,-0.19072813392891153,0.95,1000
skywork_llama31_8b,ministral3_8b,2.0,-0.18158678362402308,-0.21641065909110663,-0.1489833482800842,0.95,1000
skywork_llama31_8b,ministral3_8b,5.0,-0.03221935760239421,-0.058910714196592745,-0.0020778429908687055,0.95,1000
skywork_llama31_8b,ministral3_8b,10.0,0.04216816751193747,0.025947844255975894,0.060978473370420734,0.95,1000
skywork_llama31_8b,ministral3_8b,20.0,-0.013801321130369365,-0.03974854796448813,0.01615978392585074,0.95,1000
skywork_llama31_8b,qwen35_9b,0.1,-0.1403824012983878,-0.16651945793355455,-0.11866017929068225,0.95,1000
skywork_llama31_8b,qwen35_9b,0.2,-0.17412166390666145,-0.2039317643192819,-0.1489106075136073,0.95,1000
skywork_llama31_8b,qwen35_9b,0.5,-0.22003256510461097,-0.24761439215656697,-0.19235879243488235,0.95,1000
skywork_llama31_8b,qwen35_9b,1.0,-0.23770706933118277,-0.2684588305770277,-0.2091526075584267,0.95,1000
skywork_llama31_8b,qwen35_9b,2.0,-0.19098941048170662,-0.22420608832855854,-0.161300655665896,0.95,1000
skywork_llama31_8b,qwen35_9b,5.0,-0.04323685740811568,-0.07173452089712154,-0.015074400073089873,0.95,1000
skywork_llama31_8b,qwen35_9b,10.0,0.008631256904396842,-0.011868498440900483,0.031167395161528985,0.95,1000
skywork_llama31_8b,qwen35_9b,20.0,0.017941470685299846,-0.004538185009025949,0.041296580923690214,0.95,1000
