generator,reward_model,split_seed,price_per_million,policy,fixed_n,fixed_net_utility,adaptive_quality,adaptive_output_tokens,adaptive_calls,adaptive_net_utility,relative_gain_percent
ministral3_8b,fsfairx_llama3_rm,71,0.5,record_then_smooth,119,0.48010120435292286,0.5436169610299649,133343.27,239.365,0.4769453260299649,-0.657336056303256
ministral3_8b,fsfairx_llama3_rm,71,0.5,current_mean_costse2,119,0.48010120435292286,0.5394373593975031,92641.83,161.685,0.49311644439750313,2.710936762202486
ministral3_8b,fsfairx_llama3_rm,71,1.0,four_over_n,55,0.43314643702474853,0.5770100011993159,241861.985,388.53,0.3351480161993159,-22.62477823864296
ministral3_8b,fsfairx_llama3_rm,71,1.0,four_over_n_plus_one,55,0.43314643702474853,0.5769409556963343,241102.655,387.825,0.3358383006963343,-22.46541308219381
ministral3_8b,fsfairx_llama3_rm,71,1.0,one_over_n,55,0.43314643702474853,0.5146374860969203,77176.2075,143.7975,0.4374612785969203,0.9961623144842428
ministral3_8b,fsfairx_llama3_rm,71,1.0,one_over_n_plus_one,55,0.43314643702474853,0.5133656856743221,76161.23,142.9175,0.4372044556743221,0.9368699134287688
ministral3_8b,fsfairx_llama3_rm,71,1.0,record_then_smooth,55,0.43314643702474853,0.5121514297650834,74111.6025,140.4925,0.43803982726508345,1.129731153728808
ministral3_8b,fsfairx_llama3_rm,71,1.0,current_mean_costse2,55,0.43314643702474853,0.5044393434201686,51249.8625,97.92,0.4531894809201686,4.62731357854269
ministral3_8b,fsfairx_llama3_rm,71,2.0,four_over_n,35,0.3858970655223114,0.5457122965792425,137552.57,243.86,0.27060715657924245,-29.87581903143631
ministral3_8b,fsfairx_llama3_rm,71,2.0,four_over_n_plus_one,35,0.3858970655223114,0.5455216040705939,136717.0825,243.07,0.27208743907059396,-29.49222386484753
ministral3_8b,fsfairx_llama3_rm,71,2.0,one_over_n,35,0.3858970655223114,0.4835155345662326,43943.6025,88.0675,0.3956283295662326,2.5217253286831705
ministral3_8b,fsfairx_llama3_rm,71,2.0,one_over_n_plus_one,35,0.3858970655223114,0.4821343148157164,43207.21,87.31,0.3957198948157164,2.5454532234158886
ministral3_8b,fsfairx_llama3_rm,71,2.0,record_then_smooth,35,0.3858970655223114,0.47932699053866434,41727.5375,85.35,0.39587191553866435,2.584847335610599
ministral3_8b,fsfairx_llama3_rm,71,2.0,current_mean_costse2,35,0.3858970655223114,0.4688917657369141,27996.7925,54.915,0.4128981807369141,6.996973448879872
ministral3_8b,fsfairx_llama3_rm,71,5.0,four_over_n,16,0.32266769234630566,0.5042889520520102,64071.4775,122.05,0.18393156455201015,-42.99659714471688
ministral3_8b,fsfairx_llama3_rm,71,5.0,four_over_n_plus_one,16,0.32266769234630566,0.503995516898668,63277.1275,121.2375,0.1876098793986679,-41.8566271589056
ministral3_8b,fsfairx_llama3_rm,71,5.0,one_over_n,16,0.32266769234630566,0.4337276766623621,21351.05,42.7025,0.3269724266623621,1.3341076340039477
ministral3_8b,fsfairx_llama3_rm,71,5.0,one_over_n_plus_one,16,0.32266769234630566,0.43104378227479173,20522.91,41.8675,0.3284292322747917,1.7855955415277305
ministral3_8b,fsfairx_llama3_rm,71,5.0,record_then_smooth,16,0.32266769234630566,0.4267981985081324,19695.99,40.67,0.3283182485081324,1.7511998554110721
ministral3_8b,fsfairx_llama3_rm,71,5.0,current_mean_costse2,16,0.32266769234630566,0.4081116412828411,12742.4375,25.755,0.3443994537828411,6.735028622949846
